time_s,stage,volume,node_type,T_F,P_psia_hyd,ML_lbmol,MV_lbmol,L_out_used_lbmolph,V_out_lbmolph,x_n-Propane,y_n-Propane,x_n-Butane,y_n-Butane,x_n-Pentane,y_n-Pentane
0.5,1,reflux_drum,reflux_drum,120.73357060590791,221.29648199323688,1631.111173845941,121.26978712583502,,,0.8799629251572476,0.9461828732844934,0.11999493944182049,0.053807423267937964,4.2135400931901586e-05,9.703447568777558e-06
0.5,2,rectifying_volume_1,tray,130.18210336569865,221.34399641733867,38.020631030690424,49.483914100216154,5661.790731673991,8464.897408477977,0.7560036456703726,0.8800290689708716,0.24383099593704585,0.11992885206726879,0.00016535839258151918,4.2078961859531415e-05
0.5,3,rectifying_volume_2,tray,141.22895849840546,221.39313614588443,34.288925454837006,12.806614615405078,5441.305187308452,8173.318060928727,0.6239701896994376,0.7941879078166305,0.3755852385615715,0.20568471031510277,0.0004445717389909569,0.00012738186826680777
0.5,4,rectifying_volume_3,tray,151.58709993029586,221.442128662881,33.3575039037374,12.587726279500234,5316.055374910607,7952.91639810541,0.5114115138492852,0.7049378619366662,0.4875977580025256,0.29474489713029195,0.0009907281481893579,0.00031724093304181405
0.5,5,rectifying_volume_4,tray,159.62323713010255,221.49141379871583,32.77851142745799,12.431469895590734,5258.719490393247,7827.749692048115,0.4307768946670306,0.6298214755675338,0.5672560153876673,0.3694926689725497,0.0019670899453018403,0.0006858554599166018
0.5,6,rectifying_volume_5,tray,165.09423013793696,221.54103376199188,32.38108668590166,12.33697166968495,5234.150037235074,7770.488333761428,0.37915919392305103,0.5761518107440561,0.6171994042007628,0.4225042840729461,0.003641401876186146,0.0013439051829979229
0.5,7,rectifying_volume_6,tray,168.57927902215587,221.59100097490068,32.16631773242328,12.278051552108346,5220.299045630592,7745.984916526035,0.3480962587822114,0.5417546678532754,0.6454356177409833,0.45577276545543066,0.006468123476805311,0.002472566691293916
0.5,8,rectifying_volume_7,tray,170.8091946874408,221.64120990830943,32.027054706268885,12.240715491595454,5206.04412988985,7732.194431236446,0.32980258738456625,0.5210903570940288,0.6589854940364898,0.47453184588743824,0.011211918578944047,0.00437779701853288
0.5,9,rectifying_volume_8,tray,172.39270854753698,221.6914993582431,31.877006051587255,12.215557782778857,5184.740524919168,7717.997461157613,0.31875773272736035,0.5090828372656333,0.6621045129184625,0.48334494314897586,0.01913775435417719,0.0075722195853910055
0.5,10,rectifying_volume_9,tray,173.8019841789923,221.7417206839006,31.674298281493,12.193509761802783,5150.026406943095,7696.75133448312,0.31135508108537563,0.5021492840700292,0.656353679668135,0.4849515787404602,0.03229123924648929,0.012899137189510537
0.5,11,rectifying_volume_10,tray,175.44457505779897,221.7917684075893,31.40250099208062,12.164481041290248,5093.5876201504625,7662.095164327611,0.3051772926713819,0.49801341598010446,0.6409649159619715,0.48027714801903876,0.05385779136664666,0.02170943600085684
0.5,12,feed_tray,tray,177.75245754286226,221.8667253546702,45.880579247893415,10.947533661753418,12234.32826797691,7605.714310557946,0.29840816883298416,0.4952691753981236,0.6131432107363931,0.4686591148035228,0.08844862043062274,0.036071709798353536
0.5,13,stripping_volume_1,tray,181.23132736186636,221.94234342992058,45.68884187267252,10.894342281841391,12255.15882620014,7603.545158601772,0.2699539491779342,0.4579919988647754,0.640240165982446,0.5040712143376123,0.08980588483961975,0.03793678679761233
0.5,14,stripping_volume_2,tray,185.40587906737352,222.0190035712603,45.51238507722883,10.82938107950483,12292.21540472339,7624.445290474528,0.23658589354291432,0.41183350128206636,0.6720205941172226,0.547912418280254,0.09139351233986297,0.040254080437679626
0.5,15,stripping_volume_3,tray,190.14707211055534,222.09692991450456,45.30585011481614,10.76059629467646,12349.137688370009,7661.575083316971,0.19971213784094605,0.3576285071395619,0.7070361458904664,0.5993330854154763,0.09325171626858764,0.04303840744496186
0.5,16,stripping_volume_4,tray,195.22122819862523,222.166463992943,53.4770616275774,12.137353218451937,12424.647093906253,7718.571917065116,0.16148048316757455,0.2977592356493793,0.7428735799221566,0.6558754374319555,0.09564593691026888,0.0463653269186652
0.5,17,stripping_volume_5,tray,200.37394059408513,222.23737503515554,53.17818338390552,12.06420752159779,12510.747213430472,7794.16531161799,0.12430890241599905,0.23588587676041742,0.7761913769660388,0.7134812212798988,0.0994997206179621,0.05063290195968376
0.5,18,stripping_volume_6,tray,205.46276927104384,222.31026985421573,53.21007776442606,11.9665399715633,12588.832504107955,7880.346986735081,0.09027517286913024,0.17607830454757203,0.802288400196603,0.7666821144341394,0.10743642693426676,0.057239581018288604
0.5,19,stripping_volume_7,tray,210.68658622533147,222.3845156699266,52.77444548272434,11.898699471486408,12624.609980320804,7958.511089771572,0.06069999156482363,0.12174957851898288,0.8131355686939276,0.8080452982573029,0.12616443974124886,0.07020512322371428
0.5,20,combined_reboiler_sump,reboiler_sump,216.9570763604378,222.40979460709192,758.0459729156065,77.33496591174806,,7994.3644243608815,0.03607883152893647,0.07491264146321301,0.7923973490175654,0.8251439671583468,0.17152381945349804,0.09994339137844022
