time_s,stage,volume,node_type,T_F,P_psia_hyd,ML_lbmol,MV_lbmol,L_out_used_lbmolph,V_out_lbmolph,x_n-Propane,y_n-Propane,x_n-Butane,y_n-Butane,x_n-Pentane,y_n-Pentane
0.25,1,reflux_drum,reflux_drum,120.63616528180447,220.95842259609273,1701.6254394947848,115.93327638928243,,,0.8795757815537552,0.9460290709669419,0.12038082340851229,0.05396094398294844,4.33950377325388e-05,9.985050109671053e-06
0.25,2,rectifying_volume_1,tray,130.23140364587684,221.00616135703072,38.00533046254402,49.38374143261608,5656.959798624402,8490.926494336261,0.7537565095470283,0.8787841725526464,0.246071697534057,0.12117207511809043,0.00017179291891472064,4.37523292631479e-05
0.25,3,rectifying_volume_2,tray,141.39521077481692,221.05551162070742,34.265611839304164,12.778891863281974,5435.970885065327,8194.432360672101,0.6205643006421286,0.7918339786650573,0.3789746079591755,0.20803361444802146,0.00046109139869574125,0.00013240688692126663
0.25,4,rectifying_volume_3,tray,151.78692507595315,221.10471787989007,33.33558000871198,12.560322947282799,5311.87533852065,7973.220733550426,0.5079199304173727,0.702030179813314,0.49105679016819165,0.2976412909550031,0.0010232794144356496,0.0003285292316828482
0.25,5,rectifying_volume_4,tray,159.78840423400737,221.15422125128285,32.76130272413329,12.405555594300349,5255.528734553217,7848.916383801998,0.4278329740526449,0.6270328025148497,0.5701444505500051,0.37226037756696617,0.0020225753973500357,0.0007068199181841271
0.25,6,rectifying_volume_5,tray,165.2011186848891,221.20405812140703,32.36804304464372,12.312618265273501,5231.285211147279,7792.379767572162,0.376884391847368,0.573834099030693,0.619387273489811,0.4247875907482221,0.003728334662820878,0.0013783102210848039
0.25,7,rectifying_volume_6,tray,168.63384952606967,221.2542358059682,32.15575041814015,12.254905830456229,5217.2791479132175,7767.9625865634625,0.34636849942546183,0.5399403322890028,0.6470345851154855,0.4575349975443923,0.006596915459052737,0.002524670166604943
0.25,8,rectifying_volume_7,tray,170.82684847386903,221.30464660415993,32.01744281754221,12.21838563523228,5202.623219333592,7753.795443689115,0.32845215229369806,0.5196696711266151,0.6601542118797906,0.47587826108095777,0.011393635826511109,0.004452067792427163
0.25,9,rectifying_volume_8,tray,172.38788146123377,221.35512906318,31.867309888316367,12.193744030976218,5180.823027840727,7738.987700167006,0.31764349972216493,0.507926168166873,0.6629768850460822,0.484402079601026,0.01937961523175291,0.007671752232101066
0.25,10,rectifying_volume_9,tray,173.78461876743236,221.4055350840655,31.66403506867815,12.172032865347003,5145.630085436271,7717.042385082065,0.31038027566566356,0.5011529772906952,0.6570341722438107,0.4858256073567053,0.03258555209052578,0.013021415352599507
0.25,11,rectifying_volume_10,tray,175.4188184485644,221.4557600922332,31.391891993090283,12.143298030568937,5088.876064916054,7681.70885842617,0.3042867903346152,0.497106932843334,0.6415543568469801,0.4810560097248394,0.05415885281840475,0.02183705743182657
0.25,12,feed_tray,tray,177.71484537180302,221.53088132432214,45.86297382918018,10.929597086783128,12223.473066910728,7624.816323261004,0.2975856121523838,0.4944100969686349,0.6137825967842871,0.4694353621662933,0.08863179106332902,0.03615454086507181
0.25,13,stripping_volume_1,tray,181.23920550955003,221.60662974920794,45.6685363580484,10.875847715540095,12244.372508509408,7616.220013003439,0.2687791253669777,0.45660140653420084,0.6412134777539236,0.5053498681672803,0.09000739687909884,0.038048725298518674
0.25,14,stripping_volume_2,tray,185.45196926134147,221.68342903940456,45.49032028973424,10.810520662067022,12281.732306759259,7636.8951527463905,0.23513890899583775,0.4099524988319124,0.67325136905512,0.5496536307415245,0.09160972194904224,0.040393870426562964
0.25,15,stripping_volume_3,tray,190.21643656881935,221.761503204111,45.283150687197974,10.741658800122702,12339.01484698991,7674.027466522291,0.19812873449191495,0.3553928419322866,0.7083925263987075,0.6014059449853438,0.09347873910937757,0.04320121308236951
0.25,16,stripping_volume_4,tray,195.29343745724026,221.83115061359118,53.45118654209598,12.116138779405505,12414.553396426549,7731.082176619391,0.15992717354088581,0.29539498632777833,0.7441894940180315,0.6580605978129213,0.09588333244108284,0.046544415859300504
0.25,17,stripping_volume_5,tray,200.42878489409262,221.9021730422314,53.15299437066851,12.043606169479284,12500.160796262313,7806.373931557075,0.1229383638078507,0.23365579252744734,0.7773061789907179,0.7155197117081766,0.09975545720143131,0.050824495764376004
0.25,18,stripping_volume_6,tray,205.4847883925552,221.97517010311094,53.18521039338149,11.946807559533312,12577.074904074063,7891.7405209315275,0.08919876587145545,0.17422429847145704,0.8030698934590017,0.7683274054336888,0.10773134066954285,0.05744829609485417
0.25,19,stripping_volume_7,tray,210.6681619493884,222.04950183515697,52.74945578476333,11.879815519543762,12611.059865676214,7968.421400617808,0.059973442188978404,0.12043838029016561,0.8134930681643537,0.8091144168553523,0.1265334896466679,0.07044720285448197
0.25,20,combined_reboiler_sump,reboiler_sump,216.89786534916666,222.07488138631257,758.0971903856745,77.20347840066572,,8002.179274972361,0.035707036849902354,0.07421819059188293,0.7922882203191874,0.8255425218538898,0.17200474283091016,0.10023928755422731
