time_s,stage,volume,node_type,T_F,P_psia_hyd,ML_lbmol,MV_lbmol,L_out_used_lbmolph,V_out_lbmolph,x_n-Propane,y_n-Propane,x_n-Butane,y_n-Butane,x_n-Pentane,y_n-Pentane
0.25,1,reflux_drum,reflux_drum,120.63609216523699,220.95814946114444,1701.5789599019167,115.93653732959783,,,0.8795753909880061,0.9460289087268536,0.12038121378897117,0.05396110618666147,4.339522302282604e-05,9.985086484895156e-06
0.25,2,rectifying_volume_1,tray,130.2313444850873,221.00588827309068,38.005334311735865,49.38366993182832,5656.959731954419,8490.927525574658,0.753755936367367,0.878783893541353,0.24607227067043225,0.12117235413546387,0.00017179296220080873,4.375232318309196e-05
0.25,3,rectifying_volume_2,tray,141.39516169816125,221.05523858781373,34.265614924571594,12.778873303607982,5435.971040266911,8194.433074547815,0.6205636310757786,0.7918335803843858,0.37897527788731405,0.20803401285754866,0.00046109103690737994,0.00013240675806562368
0.25,4,rectifying_volume_3,tray,151.7868770134137,221.10444489948713,33.335583717309206,12.560304731933803,5311.87580997059,7973.221551405924,0.5079192814379254,0.7020297211990517,0.4910574404145858,0.29764175000912463,0.0010232781474887795,0.0003285287918235877
0.25,5,rectifying_volume_4,tray,159.78834970225006,221.15394832484836,32.76130735819448,12.405537759350755,5255.5294498702015,7848.917423884098,0.4278324132248344,0.6270323607639486,0.5701450143048752,0.3722608204227241,0.0020225724702903516,0.0007068188133272027
0.25,6,rectifying_volume_5,tray,165.2010551059118,221.2037852495883,32.368048505793205,12.312600739514945,5231.286071794479,7792.380970990715,0.37688392956312106,0.5738337181039482,0.6193877413330492,0.4247879739727938,0.003728329103829592,0.0013783079232579899
0.25,7,rectifying_volume_6,tray,168.63377762215237,221.2539629887074,32.15575652439187,12.25488853347143,5217.280092710292,7767.963862544362,0.3463681190059833,0.5399400194991761,0.6470349748329705,0.4575353144995672,0.0065969061610462254,0.0025246660012567877
0.25,8,rectifying_volume_7,tray,170.82677003246698,221.30437384106162,32.0174494049761,12.218368500835938,5202.624220588043,7753.796736903857,0.32845183209135415,0.5196694158726497,0.6601545460982043,0.47587852311725415,0.01139362181044162,0.00445206101009618
0.25,9,rectifying_volume_8,tray,172.3877981980627,221.35485635376102,31.867316823666794,12.193727013730784,5180.824073525202,7738.988988522395,0.3176432216827604,0.5079259561370543,0.6629771819225145,0.48440230163783726,0.019379596394724995,0.0076717422251084254
0.25,10,rectifying_volume_9,tray,173.7845320651682,221.40526242784617,31.66404222780615,12.172015939923481,5145.631164107596,7717.043662171367,0.3103800267341176,0.5011527963693752,0.6570344422804747,0.48582580139616865,0.03258553098540769,0.013021402234456145
