time_s,stage,volume,node_type,T_F,P_psia_hyd,ML_lbmol,MV_lbmol,L_out_used_lbmolph,V_out_lbmolph,x_n-Propane,y_n-Propane,x_n-Butane,y_n-Butane,x_n-Pentane,y_n-Pentane
0.25,1,reflux_drum,reflux_drum,120.79104308324662,221.48308722549007,1667.09223197189,118.72548074692445,,,0.8801248674515995,0.946242640851126,0.11983365132398183,0.053747801501633434,4.148122441879509e-05,9.557647240611532e-06
0.25,2,rectifying_volume_1,tray,130.15669495401642,221.53051351087782,38.02503852708162,49.53937567073572,5662.826215858572,8457.01739383731,0.7572213478130823,0.8807014763025222,0.24261739230176949,0.11925750542755037,0.00016125988514828618,4.1018269927461716e-05
0.25,3,rectifying_volume_2,tray,141.13192090302672,221.57956968733018,34.298354146600815,12.822361643425085,5442.724102166655,8167.808092750163,0.6259122083053436,0.7955264119279647,0.3736541670432336,0.2043495006063597,0.00043362465142282374,0.0001240874656754428
0.25,4,rectifying_volume_3,tray,151.4620866414445,221.62847535067806,33.3667775191022,12.603492719122263,5316.865252610547,7947.762690205754,0.5134943018685085,0.7066699809830331,0.4855369433352062,0.2930203128531604,0.0009687547962852574,0.00030970616380634596
0.25,5,rectifying_volume_4,tray,159.51103543631123,221.67766950429822,32.78539183217863,12.446515659020351,5258.929373403668,7821.953324973421,0.43260778166350156,0.6315586504072298,0.5654626819629873,0.36776958501791923,0.0019295363735108984,0.0006717645748508995
0.25,6,rectifying_volume_5,tray,165.01235669156662,221.72719770213735,32.38558914637951,12.351169377711273,5234.105444058464,7764.064568656009,0.3806274872472277,0.5776570600280249,0.6157892360406816,0.42102202572816827,0.003583276712090655,0.0013209142438068962
0.25,7,rectifying_volume_6,tray,168.52753232347447,221.77707546794204,32.169223705633264,12.291552091326205,5220.274489645191,7739.285493122126,0.34924412893610834,0.5429748933701477,0.6443717041365536,0.45458669900950854,0.006384166927337906,0.002438407620343627
0.25,8,rectifying_volume_7,tray,170.7805969211686,221.8271987120557,32.02914462205847,12.253718282267078,5206.186101003795,7725.495276289929,0.3307133660543256,0.5220672484630468,0.6581889109838199,0.4736021439413068,0.011097722961854347,0.004330607595646425
0.25,9,rectifying_volume_8,tray,172.3799245788412,221.87740648393387,31.878830647052887,12.228221655687596,5185.1065844118475,7711.441751411925,0.3195065613471657,0.509880696568397,0.6615008461796245,0.4826077538850874,0.018992592473209755,0.007511549546515542
0.25,10,rectifying_volume_9,tray,173.79980310108934,221.9275498604205,31.676111081285512,12.205929187526015,5150.608887783719,7690.390184967846,0.31199543637296384,0.5028236849974246,0.6558809033788503,0.4843482078355063,0.03212366024818579,0.012828107167069058
0.25,11,rectifying_volume_10,tray,175.45074723285407,221.97752285148042,31.404202039089018,12.176677862503501,5094.308806761295,7655.913691575263,0.3057406098430807,0.49860359835662,0.6405642867382332,0.47975778539501607,0.053695103418686,0.02163861624836402
0.25,12,feed_tray,tray,177.76822978435905,222.05241313263284,45.88716338501543,10.957804754476527,12238.41206567124,7599.630583540434,0.2989061616472563,0.4957993624055018,0.612744072668331,0.468175587026832,0.08834976568441269,0.03602505056766619
0.25,13,stripping_volume_1,tray,181.2195226657816,222.12798171673123,45.697040581680255,10.90496644959034,12259.174087374326,7600.826619423801,0.27066447532167714,0.4588411505318742,0.6396434643177679,0.5032877229590814,0.089692060360555,0.03787112650904451
0.25,14,stripping_volume_2,tray,185.37020435274175,222.20458604010108,45.521689456874384,10.840252101875297,12296.027959820629,7621.65235491778,0.23746594744608376,0.4129841484338411,0.6712675752426444,0.546846236311529,0.0912664773112719,0.04016961525462989
0.25,15,stripping_volume_3,tray,190.0961796789043,222.28245035006063,45.31560855601743,10.771542392604848,12352.710589885173,7658.5681759409645,0.2006820704797313,0.35900329672996517,0.7062043898496704,0.5980591259738761,0.09311353967059824,0.042937577296158755
0.25,16,stripping_volume_4,tray,195.16735352990563,222.35193413199113,53.4884246709659,12.149631626567936,12428.163151523402,7715.311873713499,0.16243967114661811,0.2992236092402806,0.7420637321906257,0.6545246657441146,0.09549659666275624,0.046251725015604706
0.25,17,stripping_volume_5,tray,200.32997584473907,222.42279509572842,53.18913722202504,12.076133632899454,12514.514342089,7790.826992178693,0.12515965874822507,0.23727398399248678,0.7755051505166821,0.7122168554079035,0.09933519073509277,0.050509160599609686
0.25,18,stripping_volume_6,tray,205.43842918025615,222.49564428396738,53.22074880317279,11.97796187761493,12593.252258574652,7877.238899897438,0.09094723378185486,0.17723933075787002,0.8018085802662035,0.7656579041154014,0.10724418595194161,0.0571027651267287
0.25,19,stripping_volume_7,tray,210.68599097824807,222.56985309930036,52.78519614106311,11.909632967785866,12630.062994991305,7956.0342566664485,0.06116064346148249,0.12258426484197502,0.8129214597904743,0.8073741374900499,0.12591789674804318,0.07004159766797508
0.25,20,combined_reboiler_sump,reboiler_sump,216.9779116208583,222.5950934661006,757.8565160950981,77.42475140110591,,7992.900757959696,0.036329869464333704,0.0753854655291866,0.792497530599982,0.8248930901172279,0.1711725999356843,0.09972144435358532
30.0,1,reflux_drum,reflux_drum,120.79467553382275,221.49882716853386,1669.8345331541443,118.53283272677486,,,0.8801551849992945,0.9462557997174479,0.11980335569536726,0.053734647397568586,4.145930533822015e-05,9.55288498362048e-06
30.0,2,rectifying_volume_1,tray,130.16162705880632,221.54625678417494,38.02453005039793,49.543360122928235,5662.756017386648,8457.953900962844,0.7572351147281535,0.8807062730289319,0.24260356448653628,0.11925269161073869,0.00016132078531032575,4.103536032938718e-05
30.0,3,rectifying_volume_2,tray,141.13790919832326,221.59531566585795,34.297747441868694,12.823370866215791,5442.617924113466,8168.626861003859,0.6259147856626364,0.7955233295792254,0.37365134824944685,0.20435250826271661,0.00043386608791686165,0.000124162158058076
30.0,4,rectifying_volume_3,tray,151.4684086397802,221.6442237833882,33.36613189539015,12.604483225353802,5316.745294788513,7948.5295770461935,0.5134947903839898,0.7066642275179353,0.4855358921019509,0.2930258728061602,0.0009693175140594928,0.00030989967590442307
30.0,5,rectifying_volume_4,tray,159.51720040449058,221.69342019512382,32.78473744641225,12.44750250281161,5258.79917693735,7822.691032686576,0.4326108655943783,0.6315549218813135,0.5654585192217969,0.36777291205290513,0.001930615183824661,0.0006721660657814956
30.0,6,rectifying_volume_5,tray,165.01826599854707,221.74295044546506,32.38492111099473,12.352157852031972,5233.962162804253,7764.778340462419,0.3806336371044733,0.5776567852574618,0.615781225178133,0.4210215705426678,0.003585137717393581,0.001321644199870464
30.0,7,rectifying_volume_6,tray,168.53330277571504,221.79283003938397,32.168525080711476,12.292541769753827,5220.115256744842,7739.974099930588,0.3492521046597285,0.5429771644226017,0.6443607399864074,0.454583213476065,0.006387155353864005,0.0024396221013333126
30.0,8,rectifying_volume_7,tray,170.78639052252427,221.84295488216569,32.0284006050763,12.254707396511021,5206.009086847412,7726.156965322357,0.3307217701286985,0.5220705315514531,0.6581760034689013,0.47359697888559965,0.011102226402400212,0.0043324895629472246
30.0,9,rectifying_volume_8,tray,172.38587186479674,221.8931640274356,31.87803283877114,12.229208530344511,5184.911083443508,7712.075317199761,0.31951435181061666,0.509883700409651,0.6614867599657503,0.4826020411610337,0.018998888223633038,0.007514258429315183
30.0,10,rectifying_volume_9,tray,173.80597018083444,221.94330856116164,31.675261141946542,12.206912729774892,5150.396255454748,7690.9951911816415,0.3120020109513368,0.5028255477617,0.6558664849404453,0.484342822297897,0.032131504108217905,0.012831629940403053
30.0,11,rectifying_volume_10,tray,175.45709080356616,221.99328251198114,31.403320360598382,12.177658421659187,5094.084950243878,7656.491568540101,0.3057458495035087,0.49860382578669626,0.6405513393455775,0.4797537612496358,0.05370281115091386,0.02164241296366794
30.0,12,feed_tray,tray,177.77449768636518,222.06817448439898,45.88683480579145,10.958632131419003,12238.453995816626,7600.187298619535,0.2989106181418754,0.49579774776952173,0.6127368963299362,0.46817492940063177,0.08835248552818839,0.036027322829846525
30.0,13,stripping_volume_1,tray,181.22590816471174,222.14374650985627,45.696686041388965,10.905790931358737,12259.205901726215,7601.636361126351,0.2706680316737491,0.45883867664946004,0.639637174502473,0.5032878257996258,0.08969479382377792,0.03787349755091406
30.0,14,stripping_volume_2,tray,185.37656326487604,222.22035412145073,45.52131926754908,10.841075281462969,12296.050509304094,7622.438372139781,0.23746977804647426,0.4129825361233166,0.6712610356598242,0.5468454413517482,0.09126918629370158,0.04017202252493525
30.0,15,stripping_volume_3,tray,190.10236999618957,222.29822154148098,45.31522960815887,10.772366259712186,12352.72294846276,7659.330753250297,0.20068723345516432,0.359004441378212,0.706196550152582,0.5980555979375535,0.09311621639225354,0.04293996068423459
30.0,16,stripping_volume_4,tray,195.17326666849874,222.3677074824202,53.48793639959252,12.150570270446211,12428.160065818134,7716.0498956676865,0.16244688401508176,0.2992292134578387,0.7420538360458379,0.6545167366537716,0.09549927993908043,0.04625404988838965
30.0,17,stripping_volume_5,tray,200.3356095801952,222.43857036526944,53.18863266422336,12.07707514392712,12514.49298941286,7791.533560450067,0.1251688286457594,0.2372845592183189,0.7754931782335024,0.7122039645104481,0.09933799312073816,0.05051147627123303
30.0,18,stripping_volume_6,tray,205.4438210290938,222.51142120084745,53.22021938033151,11.978903126664106,12593.210613416535,7877.911621368719,0.09095796314002462,0.1772546819318639,0.8017949784048222,0.7656402437110313,0.10724705845515314,0.05710507435710464
30.0,19,stripping_volume_7,tray,210.69114502813812,222.58563137608476,52.784652116905356,11.910576485750198,12630.003285857878,7956.671576985401,0.06117244004167118,0.12260374181031639,0.8129077668076297,0.8073528968780591,0.12591979315069912,0.07004336131162459
30.0,20,combined_reboiler_sump,reboiler_sump,216.9826062358216,222.6108733492231,757.8381359370305,77.43176583483653,,7993.505270600486,0.03634230367554698,0.07540838190934432,0.7924888216111229,0.8248717936674828,0.17116887471333006,0.09971982442317301
60.0,1,reflux_drum,reflux_drum,120.79792190496953,221.51327103090514,1672.4346140075409,118.34993353098825,,,0.880184195281959,0.9462684540637178,0.11977436562109442,0.0537219974520048,4.143909694652801e-05,9.548484277321726e-06
60.0,2,rectifying_volume_1,tray,130.16648760165472,221.56070447052264,38.02400741953953,49.546984811441746,5662.678132092339,8458.933985860354,0.7572435389040734,0.8807082192133439,0.24259506790425636,0.11925072539300582,0.00016139319167006466,4.105539365016602e-05
60.0,3,rectifying_volume_2,tray,141.14408288672723,221.60976653051466,34.297107555447525,12.824282928717404,5442.50316663085,8169.479888563053,0.6259094266385388,0.7955149510656035,0.3736564349522976,0.20436080279459906,0.0004341384091636113,0.00012424613979750712
60.0,4,rectifying_volume_3,tray,151.47499662350654,221.65867758651993,33.36545575982426,12.605377666444614,5316.619474460571,7949.329552265019,0.5134870629775181,0.7066518714492199,0.4855429948866647,0.2930380140788164,0.0009699421358172193,0.00031011447196357787
60.0,5,rectifying_volume_4,tray,159.52355950408614,221.7078767550245,32.784063101037376,12.448396870481163,5258.665548173617,7823.464281998479,0.4326068993057684,0.6315447639043781,0.5654613004578039,0.36778262871330025,0.0019318002364278257,0.0006726073823216651
60.0,6,rectifying_volume_5,tray,165.02424011622537,221.75740955810093,32.38424287399908,12.353057546558807,5233.816432533723,7765.5298339698165,0.3806342276300266,0.5776510824731956,0.6157786069004174,0.4210264780103288,0.0035871654695559113,0.001322439516475641
60.0,7,rectifying_volume_6,tray,168.5390182222981,221.807291470339,32.167822509849564,12.293445551767093,5219.953476359863,7740.701179589472,0.3492557713222235,0.5429751280645643,0.6443538381560066,0.4545839368797704,0.006390390521769881,0.0024409350556653243
60.0,8,rectifying_volume_7,tray,170.79204185054115,221.8574183867222,32.027655591285864,12.25561259806024,5205.828862182393,7726.856820167314,0.33072674759671966,0.522070409670317,0.6581661755085669,0.4735950797348115,0.011107076894713557,0.004334510594871431
