time_s,wall_elapsed_s,steady_state_score,steady_state_flag,ss_max_rel_state_rate_per_s,ss_max_temp_rate_F_per_s,ss_max_kpi_slope_per_s,ss_max_mv_rate_per_s,ss_global_inventory_rate_frac_feed,Q_cond_used_BTUph,Q_reb_used_BTUph,Reflux_cmd_lbmolph,Boilup_lbmolph,D_lbmolph,B_lbmolph,Top_level_ctrl_pv,Bottom_level_fraction,P_top_drum_psia,T_Distillate_F,T_sump_F,scaled_residual_inf_norm,jacobian_condition,root_wall_s,root_objective_calls,root_nfev,root_njev,root_jacobian_builds,root_color_count,root_memo_hits,root_memo_misses,root_memo_hit_fraction,Distillate_x_n-Propane,Bottoms_x_n-Propane,Distillate_x_n-Butane,Bottoms_x_n-Butane,Distillate_x_n-Pentane,Bottoms_x_n-Pentane
0.25,9.66489049998927,4.441931726681885,0.0,5.802770880774888e-05,0.00021830322452842665,1.0443628748468825e-06,0.6087837020895677,0.04441931726681885,-50894825.69156475,54706000.0,5952.48,8457.01739383731,2187.132499228841,4638.555472437964,0.505697669706108,0.4999475809879129,221.48308722549007,120.79104308324662,216.9779116208583,2.7204574895542256e-13,13403436.541845247,9.661159900017083,41.0,9.0,8.0,1.0,16.0,100.0,900.0,0.1,0.8801248674515995,0.036329869464333704,0.11983365132398183,0.792497530599982,4.148122441879509e-05,0.1711725999356843
30.0,117.95579929999076,4.316010397856487,0.0,5.6319607610940654e-05,0.00021463861950061464,1.019184353486407e-06,0.6296942548852025,0.043160103978564866,-50894825.69156475,54706000.0,5952.48,8457.953900962844,2205.86854994022,4637.853555411927,0.5063369492227876,0.49994231845693093,221.49882716853386,120.79467553382275,216.9826062358216,1.414860362860376e-12,13432073.068069765,0.988436699990416,40.0,8.0,6.0,1.0,16.0,100.0,800.0,0.1111111111111111,0.8801551849992945,0.03634230367554698,0.11980335569536726,0.7924888216111229,4.145930533822015e-05,0.17116887471333006
60.0,226.59249949999503,4.05423970409062,0.0,5.2883283630320756e-05,0.00021959945754493522,9.670094221518136e-07,0.6699023366583939,0.0405423970409062,-50894825.69156475,54706000.0,5952.48,8458.933985860354,2225.965620039972,4637.099986025487,0.5069428739170813,0.49993708844579177,221.51327103090514,120.79792190496953,216.9869529698162,8.906646734926508e-13,13459058.637345495,0.9000697000010405,39.0,7.0,7.0,1.0,16.0,100.0,700.0,0.125,0.880184195281959,0.03635375800016256,0.11977436562109442,0.792480121106843,4.143909694652801e-05,0.17116612089299443
90.0,338.8921455999953,3.775682505238282,0.0,4.924379865700398e-05,0.00022611188897675067,9.122766193840152e-07,0.7074807681076588,0.03775682505238282,-50894825.69156475,54706000.0,5952.48,8459.946076980263,2247.1900430832015,4636.304126764971,0.5075075402922038,0.49993200534903637,221.52623626401817,120.80073892410128,216.99089818357925,1.3809088182153856e-12,13484038.033478254,0.9405094000103418,40.0,8.0,6.0,1.0,16.0,100.0,800.0,0.1111111111111111,0.8802115635805405,0.03636408521713223,0.11974701558623577,0.7924715280131863,4.142083322361352e-05,0.17116438676968146
120.0,453.6596914999827,3.4825170613417806,0.0,4.542903175934832e-05,0.00023197044032201574,8.552547720586112e-07,0.7421406957763944,0.034825170613417805,-50894825.69156475,54706000.0,5952.48,8460.986118635734,2269.4542639564934,4635.4700603818765,0.5080287409865044,0.4999271336826654,221.53768416674248,120.80311731476338,216.9944309227085,1.040992081171851e-12,13506913.62732449,1.0226016000087839,41.0,9.0,8.0,1.0,16.0,100.0,900.0,0.1,0.8802372212237023,0.03637325084830476,0.11972137422427262,0.7924630675411788,4.14045520250846e-05,0.17116368161051643
150.0,568.0828641999979,3.175953513236739,0.0,4.145422114644412e-05,0.00023713684463947022,7.961197120838944e-07,0.7736742864769439,0.03175953513236739,-50894825.69156475,54706000.0,5952.48,8462.049859712504,2292.6644925508017,4634.602183155264,0.5085044502418169,0.49992253117714475,221.54758201901095,120.80504962877761,216.99754193877357,1.0566840817412916e-12,13527595.876117364,1.1465480000188109,43.0,11.0,8.0,1.0,16.0,102.0,1098.0,0.085,0.8802611048150648,0.036381224514999665,0.1196975048981777,0.7924547645271715,4.139028675759842e-05,0.17116401095782888
180.0,685.6046075999911,2.857286179230775,0.0,3.733541886656493e-05,0.00024157448719203483,7.350579725414381e-07,0.8018712380795023,0.02857286179230775,-50894825.69156475,54706000.0,5952.48,8463.132855019867,2316.7206296931868,4633.705113900968,0.508932836817639,0.499918248129236,221.55590333733113,120.80653031647347,217.00022375212902,9.949630640417994e-13,13546005.740485393,0.9748477000102866,40.0,8.0,6.0,1.0,16.0,100.0,800.0,0.1111111111111111,0.880283156554241,0.03638798019032169,0.119675465379698,0.7924466433164755,4.137806606084219e-05,0.17116537649320288
210.0,804.3449920999992,2.527895149630374,0.0,3.325789313584315e-05,0.0002452486792217693,6.722668696982718e-07,0.8265217275704344,0.02527895149630374,-50894825.69156475,54706000.0,5952.48,8464.23046979628,2341.5162815203,4632.783618128425,0.5093122769749179,0.4999143272559469,221.56262813604764,120.80755579904067,217.0024707205954,6.248497595883974e-13,13562074.133640323,0.8855298999988008,39.0,7.0,7.0,1.0,16.0,100.0,700.0,0.125,0.880303324560332,0.03639349643585599,0.11965530752617372,0.7924387276478473,4.136791349427637e-05,0.1711677759162967
240.0,926.3572475999827,2.1892463461069287,0.0,2.9197066868989172e-05,0.00024812695990779804,6.079545349220913e-07,0.8474197383346563,0.021892463461069288,-50894825.69156475,54706000.0,5952.48,8465.337887564478,2366.9388736703395,4631.842547632567,0.5096413673316833,0.49991080394602083,221.5677431872891,120.80812454050248,217.0042791108877,7.100428096015497e-13,13575742.717868121,1.018774800002575,41.0,9.0,6.0,1.0,16.0,100.0,900.0,0.1,0.8803215631963797,0.036397756623009626,0.11963707695639117,0.7924310405402332,4.1359847229180714e-05,0.17117120283675724
270.0,1049.5686479999858,1.8428898979987038,0.0,2.5028274597022812e-05,0.00025017941639665273,5.42339870956976e-07,0.8643667285220847,0.01842889897998704,-50894825.69156475,54706000.0,5952.48,8466.450121728536,2392.869875526002,4630.886794786181,0.5099189373708094,0.4999077068033528,221.5712422719902,120.80823711666798,217.0056471696248,2.2249060693473323e-12,13586965.638278797,0.9460152999963611,40.0,8.0,6.0,1.0,16.0,100.0,800.0,0.1111111111111111,0.8803378333925084,0.03640074913851322,0.11962081272774489,0.7924236041825515,4.135387974680871e-05,0.17117564667893517
