time_s,stage,volume,node_type,T_F,P_psia_hyd,ML_lbmol,MV_lbmol,L_out_used_lbmolph,V_out_lbmolph,x_n-Propane,y_n-Propane,x_n-Butane,y_n-Butane,x_n-Pentane,y_n-Pentane
0.25,1,reflux_drum,reflux_drum,120.67095248089478,221.08946616367706,1614.8861125690069,122.35026497080231,,,0.8797666571954373,0.9461083996697608,0.12019108534127006,0.053881874130294036,4.2257463292561845e-05,9.726199945124423e-06
0.25,2,rectifying_volume_1,tray,130.14644917725516,221.13700767441813,38.019307645147734,49.429007263976544,5660.237964741265,8464.439876145318,0.7554545002001739,0.8797509289942543,0.2443793987809153,0.12020681151563599,0.00016610101891074186,4.225949010958191e-05
0.25,3,rectifying_volume_2,tray,141.21595119899501,221.18617525860984,34.28590445513766,12.79220987182681,5439.829650621859,8172.455615410362,0.6231878943248912,0.7936891936354535,0.37636561041570044,0.20618285865506084,0.0004464952594084462,0.00012794770948563954
0.25,4,rectifying_volume_3,tray,151.58186110743006,221.23519797450987,33.35490389046216,12.573485770788418,5314.933600318931,7952.165013078321,0.510595798247297,0.7043106871995789,0.48840979616113955,0.29537081350669026,0.0009944055915632516,0.0003184992937308214
0.25,5,rectifying_volume_4,tray,159.61203925192677,221.2845157526917,32.77703801954797,12.417590860610408,5257.90982211972,7827.385547052453,0.4300600038652926,0.6291979275105078,0.5679669858616524,0.3701139973276606,0.001973010273055149,0.0006880751618315799
0.25,6,rectifying_volume_5,tray,165.07130641556617,221.33416956478828,32.380712625042854,12.323448809329976,5233.519555190848,7770.465000166488,0.37857656181775345,0.5756126851724351,0.617773422607675,0.42304006284667905,0.0036500155745715986,0.001347251980885735
0.25,7,rectifying_volume_6,tray,168.54484711875145,221.38417073980025,32.166770962605455,12.264809392633278,5219.752237248505,7746.165096549446,0.3476315353999595,0.5413181218737044,0.6458885860675984,0.4562047735530377,0.0064798785324421725,0.002477104573257767
0.25,8,rectifying_volume_7,tray,170.76572960615314,221.43441325699345,32.02807191995889,12.227672764127949,5205.533734194261,7732.480085796382,0.32942586811176156,0.520742047283321,0.6593469112480735,0.47487447770970137,0.011227220640164853,0.004383475006977713
0.25,9,rectifying_volume_8,tray,172.3428105051731,221.48473583123987,31.878392733073124,12.20265238620255,5184.248247428173,7718.3405514613205,0.31844217324082735,0.5088004928291812,0.662400951194185,0.48362069937371616,0.019156875564987658,0.007578807797102828
0.25,10,rectifying_volume_9,tray,173.74764453721758,221.53498990224568,31.67592669986096,12.180704740023941,5149.548607943896,7697.134015109001,0.3110811038111447,0.5019134472907271,0.6566046356015667,0.4851804191065874,0.03231426058728864,0.012906133602685681
0.25,11,rectifying_volume_10,tray,175.3870933690624,221.58507009620723,31.40429242586934,12.151764327875746,5093.127968476537,7662.5148127844,0.304932122031368,0.4978100831007537,0.6411830934667972,0.4804738914987177,0.05388478450183465,0.02171602540052855
0.25,12,feed_tray,tray,177.69259851128857,221.6600515906889,45.876969956455284,10.936775344732776,12230.25933683286,7606.175238055986,0.298184173115866,0.49508936342467813,0.613335295811735,0.4688336483553109,0.08848053107239895,0.03607698822001106
0.25,13,stripping_volume_1,tray,181.18078910876514,221.735671792116,45.68482049364908,10.88348456994267,12251.175002115331,7600.420877137834,0.26965779937316103,0.45769908878568094,0.6405004295923499,0.5043529227752757,0.08984177103448912,0.03794798843904345
0.25,14,stripping_volume_2,tray,185.36385837382352,221.8123370410258,45.50809840634574,10.818459943084704,12288.360406060037,7621.433134963193,0.23622880642973637,0.4114264963166488,0.6723384825219952,0.5483022282458987,0.09143271104826854,0.040271275437452576
0.25,15,stripping_volume_3,tray,190.11100302579436,221.8902715608149,45.301512941148445,10.749665568762744,12345.426063469478,7658.72052653852,0.1993187329006443,0.3571268634008126,0.7073880550522955,0.5998123595007099,0.09329321204706023,0.04306077709847755
0.25,16,stripping_volume_4,tray,195.18707532665854,221.9598124932514,53.47267772158677,12.124996727017663,12421.03722952261,7715.889978907501,0.16108446382981684,0.29720414453585126,0.7432266078569104,0.6564045598866763,0.09568892831327289,0.046391295577472444
0.25,17,stripping_volume_5,tray,200.3370427849309,222.0307314169276,53.17413084541774,12.051985730658187,12507.13913913503,7791.618456404439,0.12394564803965295,0.23533407685502467,0.7765101129168708,0.7140052755740662,0.09954423904347623,0.05066064757090909
0.25,18,stripping_volume_6,tray,205.4192319192485,222.1036336828827,53.206338283964406,11.954539344058565,12585.093479267814,7877.834357450998,0.08997234777197158,0.1755860034609491,0.8025425771179163,0.767145447147211,0.10748507511011214,0.057268549391839854
