time_s,wall_elapsed_s,steady_state_score,steady_state_flag,ss_max_rel_state_rate_per_s,ss_max_temp_rate_F_per_s,ss_max_kpi_slope_per_s,ss_max_mv_rate_per_s,ss_global_inventory_rate_frac_feed,Q_cond_used_BTUph,Q_reb_used_BTUph,Reflux_cmd_lbmolph,Boilup_lbmolph,D_lbmolph,B_lbmolph,Top_level_ctrl_pv,Bottom_level_fraction,P_top_drum_psia,T_Distillate_F,T_sump_F,scaled_residual_inf_norm,jacobian_condition,root_wall_s,root_objective_calls,root_nfev,root_njev,root_jacobian_builds,root_color_count,root_memo_hits,root_memo_misses,root_memo_hit_fraction,Feed_temperature_step_F,Feed_temperature_F,Feed_enthalpy_BTUph,Feed_enthalpy_delta_BTUph,Pressure_ctrl_SP_psia,Pressure_ctrl_error_psia,Composition_ctrl_component,Composition_ctrl_SP_molfrac,Composition_ctrl_PV_molfrac,Composition_ctrl_error_molfrac,Distillate_x_n-Propane,Bottoms_x_n-Propane,Distillate_x_n-Butane,Bottoms_x_n-Butane,Distillate_x_n-Pentane,Bottoms_x_n-Pentane
0.5,20.659087099978933,0.5064886947316707,0.0,0.0015194660841950122,0.024274614914986614,1.6948252833937083e-06,0.5565953024779446,0.002522117469086119,-50868332.95435238,54706000.0,5953.781811679942,8537.73234922557,2529.1412118650587,4631.848207641402,0.4972032106790903,0.5000518385967337,221.3111311617507,120.73864120499184,216.9624852009372,1.2081350826264404e-12,4615573.649150932,20.655895100004273,481.0,65.0,63.0,13.0,16.0,100.0,6500.0,0.015151515151515152,5.0,179.999,-35172407.96384422,1489019.9225219116,221.32122601060775,-0.01009484885705092,n-Butane,0.11987175180429868,0.11998986178717734,0.00011810998287865859,0.8799680082611205,0.03608710055786096,0.11998986178717734,0.7923988460378908,4.2129951702166634e-05,0.17151405340424836
30.0,146.7490090999927,0.3146474006732672,0.0,0.00044791083051150374,0.011470279436673921,1.5311183098645503e-06,0.41056166734716965,0.003146474006732672,-51378388.39062232,54706000.0,5954.252211336313,8597.783774312562,2524.9142679546344,4643.9223480393075,0.4974442689777003,0.5003250222171317,221.468039943159,120.79761480380607,217.02327218254857,9.483935304831286e-13,4596081.313946567,1.6387878000095952,77.0,13.0,9.0,2.0,16.0,107.0,1293.0,0.07642857142857143,5.0,179.999,-35172407.96384422,1489019.9225219116,221.32122601060775,0.14681393255125386,n-Butane,0.11987175180429868,0.11999958940980911,0.00012783760551042522,0.8799582751585479,0.036118544242346846,0.11999958940980911,0.7924125283850358,4.2135431643165406e-05,0.17146892737261737
60.0,236.5001740999869,0.33084748936403835,1.0,0.0002274173415496775,0.0069120792242595526,1.254243369671245e-06,0.19696391310678033,0.0033084748936403835,-51772724.77081717,54706000.0,5955.597528926598,8633.169852424491,2522.094330915883,4638.013430646104,0.497764457475707,0.5000988918382745,221.56435784778577,120.83610871858177,217.06426850182538,1.7265574622378238e-13,4586619.134177735,1.2874642999959178,72.0,8.0,8.0,2.0,16.0,100.0,800.0,0.1111111111111111,5.0,179.999,-35172407.96384422,1489019.9225219116,221.32122601060775,0.24313183717802644,n-Butane,0.11987175180429868,0.1200371904307803,0.00016543862648162044,0.8799206478574577,0.03612495350540994,0.1200371904307803,0.7924034612014413,4.216171176204358e-05,0.17147158529314868
90.0,320.82103449999704,0.0705934519409197,1.0,0.00021178035582275912,0.0069031931519788255,2.5355150820323876e-06,0.9527298286097903,0.00041665428102872316,-52064030.997169435,54706000.0,5957.924079592068,8659.274041077953,2520.6921521728605,4609.43153578781,0.49813778326134245,0.49938743884292147,221.61426382950748,120.85956352218983,217.0979711027433,8.713167389690063e-13,4578910.6901571555,1.3511166999815032,74.0,10.0,7.0,2.0,16.0,100.0,1000.0,0.09090909090909091,5.0,179.999,-35172407.96384422,1489019.9225219116,221.32122601060775,0.2930378188997338,n-Butane,0.11987175180429868,0.12010482137161417,0.00023306956731548867,0.8798529654160935,0.03607864940467983,0.12010482137161417,0.7923736998497105,4.221321229221921e-05,0.17154765074560965
120.0,402.6587797999964,0.4366457964158572,1.0,0.00019986139494019303,0.006819624432685601,3.8667085747965775e-06,1.208454001297135,0.004366457964158572,-52275651.44953896,54706000.0,5961.271262580947,8678.199583052585,2520.6378975904345,4573.177915748896,0.4985465774811314,0.49864948395861386,221.63234881916364,120.87338508875831,217.1255731552027,2.4290042215869644e-13,4573710.905097713,1.5819618999958038,76.0,12.0,9.0,2.0,16.0,100.0,1200.0,0.07692307692307693,5.0,179.999,-35172407.96384422,1489019.9225219116,221.32122601060775,0.31112280855589347,n-Butane,0.11987175180429868,0.12020225276143166,0.00033050095713298144,0.879755454739592,0.03599750189004709,0.12020225276143166,0.7923388461070993,4.229249897625375e-05,0.17166365200285355
150.0,482.19466690000263,0.9455545960956189,1.0,0.00020800107447631019,0.006642382072483125,4.722496082861423e-06,1.2359413264183179,0.009455545960956189,-52425959.09990224,54706000.0,5965.639858987117,8691.51515294284,2521.8481827449223,4536.099675956347,0.4989756899512734,0.4980490898436289,221.62923361269293,120.88140798359147,217.1491492178353,7.525517744007284e-13,4570942.44722303,1.3305916000099387,70.0,6.0,6.0,2.0,16.0,100.0,600.0,0.14285714285714285,5.0,179.999,-35172407.96384422,1489019.9225219116,221.32122601060775,0.3080076020851834,n-Butane,0.11987175180429868,0.12032799734482408,0.00045624554052539623,0.8796296016879543,0.03589170194009805,0.12032799734482408,0.7923029711745626,4.240096722146336e-05,0.1718053268853394
180.0,560.1718510999926,1.4311034813862136,0.0,0.00020929077686707043,0.006351987080841089,5.438388573937118e-06,1.189058022391479,0.014311034813862136,-52529584.20049716,54706000.0,5971.00667312435,8700.576702148011,2524.2300521541138,4500.427935284602,0.4994123283853331,0.49760921224712656,221.61265977904844,120.88634374114037,217.1712589611786,8.264879236725817e-13,4570084.792134562,1.138038899982348,70.0,6.0,6.0,2.0,16.0,100.0,600.0,0.14285714285714285,5.0,179.999,-35172407.96384422,1489019.9225219116,221.32122601060775,0.29143376844069735,n-Butane,0.11987175180429868,0.12047984794641248,0.0006080961421137954,0.8794776129124177,0.035764876265727046,0.12047984794641248,0.7922666451917154,4.2539141169834524e-05,0.1719684785425575
210.0,640.6217194999917,1.8706217981365971,0.0,0.00020382579164650465,0.005957044273970761,6.01385684910564e-06,1.093780413394082,0.018706217981365972,-52598216.64310467,54706000.0,5977.331517353928,8706.483318815144,2527.6843030484365,4467.61452288278,0.4998458639971185,0.49733088652266016,221.58823023520154,120.8900767609805,217.1936202750547,8.9170740203605e-13,4570654.839860756,1.1454446999996435,70.0,6.0,6.0,2.0,16.0,100.0,600.0,0.14285714285714285,5.0,179.999,-35172407.96384422,1489019.9225219116,221.32122601060775,0.2670042245937907,n-Butane,0.11987175180429868,0.12065514215448701,0.0007833903501883316,0.8793021510812465,0.03562015352895296,0.12065514215448701,0.7922309522230163,4.270676426637892e-05,0.17214889424803068
240.0,719.5379688999965,2.2469083052368832,0.0,0.00019378796526169648,0.0054795880966897435,6.53202673851494e-06,0.9580814493158262,0.022469083052368832,-52640974.82830657,54706000.0,5984.560860148694,8710.087111780273,2532.106591697206,4438.872079403305,0.50026749024222,0.49720994248272443,221.55988357444434,120.89385146761559,217.2171177682791,7.31900886612624e-13,4572266.927606025,1.1052724000182934,70.0,6.0,6.0,2.0,16.0,100.0,600.0,0.14285714285714285,5.0,179.999,-35172407.96384422,1489019.9225219116,221.32122601060775,0.23865756383659686,n-Butane,0.11987175180429868,0.12085090691351387,0.0009791551092151879,0.8791061902790911,0.0354610962252084,0.12085090691351387,0.7921972349771842,4.29028073949494e-05,0.17234166879760734
270.0,795.90438729999,2.546615392620974,0.0,0.000180950211737393,0.004943386856671357,7.109385033177151e-06,0.792422714089965,0.025466153926209743,-52664787.2260095,54706000.0,5992.630523884072,8712.031322407927,2537.3879113796443,4415.099397980606,0.5006699024929391,0.4972358258016244,221.53028406197888,120.8984249195412,217.2420696243276,1.1583905470539908e-12,4574609.310964041,1.2241313000267837,71.0,7.0,7.0,2.0,16.0,100.0,700.0,0.125,5.0,179.999,-35172407.96384422,1489019.9225219116,221.32122601060775,0.2090580513711302,n-Butane,0.11987175180429868,0.12106396578680444,0.0011922139825057548,0.8788929087280958,0.03529139486503382,0.12106396578680444,0.7921665980022307,4.3125485099650355e-05,0.17254200713273554
