time_s,stage,volume,node_type,T_F,P_psia_hyd,ML_lbmol,MV_lbmol,L_out_used_lbmolph,V_out_lbmolph,x_n-Propane,y_n-Propane,x_n-Butane,y_n-Butane,x_n-Pentane,y_n-Pentane
0.25,1,reflux_drum,reflux_drum,120.47105214249656,220.6462452025091,1421.7168954761762,136.26098530236663,,,0.8802474693536301,0.9463869961979283,0.11971136329911765,0.053603546160855046,4.1167347252185524e-05,9.457641216639362e-06
0.25,2,rectifying_volume_1,tray,129.83944541279686,220.69376528458693,38.04691774065398,49.33399633013139,5662.785301888509,8454.38425294734,0.7571789020259952,0.8808497207889961,0.2426613090055251,0.11910974306842492,0.0001597889684797009,4.053614257888508e-05
0.25,3,rectifying_volume_2,tray,140.82773001950733,220.74292100982322,34.31550546268709,12.769455631444954,5442.593372991001,8165.84152822911,0.6256133270860925,0.7955758654995209,0.3739567451907531,0.20430138128659997,0.0004299277231542485,0.00012275321387917695
0.25,4,rectifying_volume_3,tray,151.17242967881847,220.7919289052942,33.38268692943703,12.551042541506565,5316.84571222391,7945.895334344986,0.5129887812990528,0.7065641617173801,0.4860499096558175,0.29312907927101356,0.0009613090451296841,0.0003067590116063698
0.25,5,rectifying_volume_4,tray,159.22884674475426,220.84122993155106,32.80121941318635,12.394450359790527,5259.174164329038,7820.379265908091,0.4320122857233377,0.6313350424564157,0.5660714232020484,0.3679988596639024,0.0019162910746139017,0.0006660978796819975
0.25,6,rectifying_volume_5,tray,164.7302609393135,220.89087015150528,32.40200942575706,12.299400248108604,5234.656830695902,7762.921493351686,0.38002741672510193,0.5773874684726416,0.6164109010456175,0.42130149430349373,0.0035616822292805013,0.0013110372238647483
0.25,7,rectifying_volume_6,tray,168.24173762068344,220.94086471304118,32.186522403575275,12.240021679527832,5221.131932011173,7738.603087771123,0.3486752073801491,0.5427084491456418,0.6449733343840284,0.4548690845897934,0.006351458235822462,0.0024224662645648256
0.25,8,rectifying_volume_7,tray,170.49028199884506,220.99110902335946,32.04737293989669,12.20236837237004,5207.344216264151,7725.266303510113,0.33018036044670734,0.5218217759319578,0.6587678241300964,0.4738716500155783,0.011051815423196163,0.004306574052463897
0.25,9,rectifying_volume_8,tray,172.08572263049558,221.04144177940404,31.897905716381754,12.177004562618555,5186.5564419036255,7711.659705553429,0.31900156937401974,0.5096555103951973,0.6620641146853317,0.4828666611892577,0.018934315940648518,0.007477828415544936
0.25,10,rectifying_volume_9,tray,173.5029486294223,221.0917137907746,31.695833528777744,12.154822346697593,5152.322860688114,7691.049589051227,0.3115075917116718,0.5026117229775485,0.6564307330699846,0.4846032055143891,0.03206167521834361,0.012785071508062454
0.25,11,rectifying_volume_10,tray,175.1530876720452,221.14181870572037,31.42418642940911,12.125687551621821,5096.212903024504,7656.993766999283,0.3052591490037663,0.4983980364169514,0.6410851469468724,0.48000991513393154,0.05365570404936134,0.021592048449116996
0.25,12,feed_tray,tray,177.47309966645722,221.2168068870133,45.88309843557032,10.914674976058164,12225.817412300084,7601.065559511047,0.29841925815533393,0.4955961272580229,0.613186757743533,0.4684107690631984,0.08839398410113297,0.03599310367877883
0.25,13,stripping_volume_1,tray,180.9348959315428,221.2923791233531,45.69291432483038,10.861815186933429,12246.864292450027,7587.971446334146,0.27009650447094874,0.45849198579332817,0.640163393759707,0.5036624986088726,0.08974010176934416,0.03784551559779926
0.25,14,stripping_volume_2,tray,185.09597757773508,221.3689946524759,45.51762425405016,10.79713544366146,12284.041773240106,7609.292107980596,0.23682445668006621,0.4124719832883644,0.6718581349367821,0.5473772480318694,0.09131740838315168,0.040150768679766156
0.25,15,stripping_volume_3,tray,189.82988607046707,221.44687831146845,45.31185028646909,10.728517769246821,12341.055434475262,7646.742551315329,0.19999361696764795,0.35833655876555404,0.7068407040057213,0.5987387697529047,0.09316567902663085,0.04292467148154112
0.25,16,stripping_volume_4,tray,194.90402144956417,221.51637791364138,53.487274696277595,12.100916293762918,12416.84087241518,7704.029597896873,0.16174769082997442,0.2984448841515135,0.7427041462538686,0.6553126613922952,0.095548162916157,0.04624245445619144
0.25,17,stripping_volume_5,tray,200.06309267752098,221.5872606055566,53.18898647104523,12.027681971942979,12503.377411573903,7780.11062907998,0.12451503554855765,0.236456416622393,0.7760991651495032,0.7130432811667543,0.09938579930193915,0.050500302210852596
0.25,18,stripping_volume_6,tray,205.16164505537003,221.6601354502396,53.221514735142485,11.930002506722715,12582.081454670584,7866.946446984034,0.09039676046540247,0.17647130352919033,0.8023027425999589,0.76643556236578,0.10730049693463863,0.05709313410502975
0.25,19,stripping_volume_7,tray,210.39553728983876,221.73437147996702,52.786572658957326,11.86204221437363,12618.571050611034,7945.9555525477845,0.06073718238333791,0.12194680744322034,0.813251628474292,0.8080118053488641,0.12601118914237025,0.07004138720791547
0.25,20,combined_reboiler_sump,reboiler_sump,216.67637185641337,221.75966016432193,756.6086578231839,77.25360893799369,,7982.759349289787,0.036048094977932196,0.07493439230596947,0.7925422309037502,0.8252836145079505,0.1714096741183177,0.09978199318607989
30.0,1,reflux_drum,reflux_drum,120.48317624288607,220.68608527285778,1424.7687105869745,136.06244695290718,,,0.8802845973034076,0.9464009978739805,0.11967426935859579,0.05358955128993024,4.1133337996734205e-05,9.450836089148403e-06
30.0,2,rectifying_volume_1,tray,129.85027012064467,220.73359588754843,38.0461959103456,49.34420509869308,5662.79325656501,8453.837834682583,0.7572350684664998,0.8808742356391482,0.2426051712675348,0.11908523222475549,0.00015976026596531293,4.053213609614759e-05
30.0,3,rectifying_volume_2,tray,140.83774693424266,220.78274193633402,34.314906764310045,12.772090206961286,5442.579465463215,8165.294126438263,0.6256786897768203,0.795610254617713,0.37389137967619857,0.20426698414438482,0.00042993054698119273,0.00012276123790229255
30.0,4,rectifying_volume_3,tray,151.18270899631742,220.83173995644802,33.38201401387589,12.553624443443224,5316.798898872831,7945.3272272607355,0.51304961710739,0.7066010621488588,0.48598897955772136,0.2930921333520562,0.000961403334888549,0.0003068044990850841
30.0,5,rectifying_volume_4,tray,159.24017769368956,220.8810308786045,32.80043923160747,12.396979525093725,5259.103356157302,7819.7771122046215,0.4320612525731154,0.6313661758904743,0.5660221703275272,0.36796759144788016,0.0019165770993573787,0.0006662326616455804
30.0,6,rectifying_volume_5,tray,164.742852853292,220.93066084475333,32.4011371196392,12.30188823085373,5234.573967996637,7762.291233403187,0.38006381307140114,0.5774087698254229,0.61637389316138,0.4212798881224041,0.003562293767218717,0.0013113420521729956
30.0,7,rectifying_volume_6,tray,168.25542782661438,220.98064508091687,32.18558328574709,12.242479481818837,5221.044703825765,7737.954184228154,0.3487014300642147,0.5427200662441296,0.6449460348449867,0.45485689037581717,0.006352535090798585,0.0024230433800531298
30.0,8,rectifying_volume_7,tray,170.5047828172765,221.0308790367206,32.04639197922392,12.204804932912715,5207.25669782964,7724.604664999285,0.3301994702409769,0.5218259204401329,0.6587470969496747,0.47386655321410215,0.011053432809348385,0.004307526345764998
30.0,9,rectifying_volume_8,tray,172.1007396573713,221.08120142391317,31.89690693876638,12.179426538021577,5186.471319316426,7710.988179914254,0.3190163867765499,0.5096549058056971,0.6620472691740154,0.48286587731021674,0.01893634404943473,0.00747921688408617
30.0,10,rectifying_volume_9,tray,173.51820878976554,221.13146305619145,31.6948422172065,12.157234182703402,5152.243102188097,7690.369971105439,0.3115205326852264,0.5026089437050871,0.6564159016055696,0.4846042079362043,0.03206356570920407,0.01278684835870853
30.0,11,rectifying_volume_10,tray,175.16833498609898,221.18155758787324,31.423231083678104,12.128091489446232,5096.142555091525,7656.308194093538,0.3052722680689589,0.4983953049448684,0.6410714454590848,0.4800107031183603,0.05365628647195626,0.021593991936771258
30.0,12,feed_tray,tray,177.48810013154036,221.25653713156234,45.88329671152673,10.916705031009952,12226.452390115228,7600.376906464012,0.29843425149439906,0.4955952544876522,0.6131741801986111,0.46840989213324996,0.08839156830698987,0.03599485337909782
30.0,13,stripping_volume_1,tray,180.94998067989374,221.33210543949744,45.693111252405245,10.863835159844871,12247.504360248291,7587.976876325291,0.2701107615676724,0.458491379618592,0.6401514739789085,0.5036613134097773,0.08973776445341913,0.037847306971630815
30.0,14,stripping_volume_2,tray,185.11108083714566,221.408716882235,45.51782356583637,10.799144674441603,12284.687739681196,7609.291853934162,0.23683842686805215,0.4124727368774658,0.671846476274753,0.5473747196826534,0.09131509685719487,0.04015254343988087
30.0,15,stripping_volume_3,tray,189.84489604207215,221.4865962325108,45.31205647495724,10.73051784847191,12341.707906555881,7646.737092769165,0.20000802546270482,0.3583404092426736,0.7068286645283687,0.5987332600407403,0.09316331000892647,0.04292633071658595
30.0,16,stripping_volume_4,tray,194.9188490238607,221.55609269557633,53.4873858395804,12.103181525036183,12417.499143601155,7704.018212349329,0.1617629965240679,0.2984533844076419,0.742691404528461,0.6553027376874004,0.09554559894747115,0.046243877904957625
30.0,17,stripping_volume_5,tray,200.07764129119622,221.62697195668687,53.18911948454583,12.029940688452395,12504.044460929757,7780.089509795601,0.12453165365563555,0.2364710715795533,0.7760856368593086,0.713027649840241,0.09938270948505576,0.05050127858020571
30.0,18,stripping_volume_6,tray,205.1759516036176,221.69984308958075,53.221693809340294,11.932245870267714,12582.766204635283,7866.915015100603,0.09041396790458643,0.17649139679600584,0.8022899972366461,0.7664153252600485,0.10729603485876756,0.05709327794394568
30.0,19,stripping_volume_7,tray,210.40972509842038,221.77407520667995,52.78682144804532,11.864275117550424,12619.290660137003,7945.918692626369,0.06075327555890219,0.12196923810780991,0.8132434823029293,0.8079910171535718,0.12600324213816846,0.07003974473861815
30.0,20,combined_reboiler_sump,reboiler_sump,216.6905362457157,221.79935833230323,757.3354983611875,77.20471404167893,,7982.730365073638,0.03606080270470208,0.0749543428851595,0.7925454164082502,0.8252692897855676,0.17139378088704782,0.09977636732927296
60.0,1,reflux_drum,reflux_drum,120.49516543472537,220.72557966314497,1427.9565964034284,135.8536688989253,,,0.8803217823237821,0.9464150642145371,0.11963711730986804,0.05357549152918825,4.110036634981048e-05,9.444256274458809e-06
60.0,2,rectifying_volume_1,tray,129.8606855676228,220.77308039269943,38.04551132688285,49.35435724857837,5662.804789440831,8453.222992867753,0.7572946943138612,0.8809008424666465,0.24254557299701948,0.11905862928361584,0.00015973268911930675,4.052824973781866e-05
60.0,3,rectifying_volume_2,tray,140.84718508727573,220.82221629230528,34.31434325054963,12.774714438807434,5442.566009160876,8164.676330919078,0.6257490745222674,0.7956483668517595,0.3738209911290305,0.20422886431878637,0.00042993434870189714,0.00012276882945415148
60.0,4,rectifying_volume_3,tray,151.19241802541777,220.87120391608568,33.381358906979905,12.556195789722649,5316.746238699883,7944.685153950851,0.5131149251986192,0.7066419828596332,0.4859235782697498,0.29305116920959134,0.0009614965316309922,0.0003068479307755655
60.0,5,rectifying_volume_4,tray,159.25104821586575,220.92048416105322,32.79965499791145,12.399496224985905,5259.020580775026,7819.094871465066,0.4321133086449702,0.6314005409273873,0.5659698408897132,0.36793309886458847,0.0019168504653163583,0.0006663602080242727
60.0,6,rectifying_volume_5,tray,164.7550870293644,220.9701032528483,32.40024201667888,12.304362459169099,5234.473809766597,7761.575503463164,0.38010218092165515,0.5774323745258054,0.6163349614538401,0.42125600017330966,0.0035628576245046867,0.001311625300884889
60.0,7,rectifying_volume_6,tray,168.26880490728735,221.02007649617303,32.184606942158524,12.244923574220543,5220.935215845623,7737.215638506684,0.3487291283431331,0.5427335268499216,0.6449173837903344,0.45484290610150957,0.006353487866532496,0.002423567048568783
60.0,8,rectifying_volume_7,tray,170.51895614043875,221.07029937967772,32.04536275166416,12.207228965562674,5207.142009988339,7723.849881441204,0.33022010453680545,0.5218320037648316,0.6587251018554588,0.4738596287778725,0.011054793607735633,0.004308367457295739
60.0,9,rectifying_volume_8,tray,172.11537526180336,221.1206106264283,31.895850875354522,12.181837873487227,5186.3540534325,7710.220276628819,0.3190331149167523,0.5096567201129499,0.6620289527499514,0.4828628712481923,0.018937932333296346,0.007480408638857712
60.0,10,rectifying_volume_9,tray,173.53301829182922,221.1708610523204,31.69378482231778,12.15963752218102,5152.126020745071,7689.59081512683,0.31153589765536727,0.5026092282757684,0.6563992619996712,0.4846024397269481,0.03206484034496149,0.012788331997283487
60.0,11,rectifying_volume_10,tray,175.1830732436101,221.22094431679926,31.422198416854897,12.130488848736887,5096.029162224907,7655.519789287699,0.3052882670191618,0.4983962594680535,0.6410554912891637,0.4800081509701592,0.05365624169167453,0.021595589561787237
60.0,12,feed_tray,tray,177.50257389045845,221.29591430635662,45.88342782060806,10.918730651713073,12227.031373866641,7599.58164098288,0.29845236106114104,0.49559852815432337,0.6131586704920824,0.46840511160347753,0.0883889684467764,0.03599636024219908
60.0,13,stripping_volume_1,tray,180.9642983563476,221.37147760622497,45.69324134922217,10.865855265988356,12248.079878779214,7587.863611933652,0.2701300349656868,0.45849767957074655,0.640134773464529,0.5036535877881751,0.08973519156978425,0.03784873264107832
60.0,14,stripping_volume_2,tray,185.12521543309452,221.44808374865985,45.517950768635444,10.80115776698979,12285.258882720816,7609.165465119649,0.23685889943852523,0.41248291835600587,0.6718285729189858,0.5473632360423922,0.09131252764248891,0.04015384560160182
60.0,15,stripping_volume_3,tray,189.85882154275163,221.52595743885362,45.312178633265056,10.732523965163663,12342.274449253542,7646.596632857234,0.20002966366308275,0.35835539459053795,0.7068096428882314,0.5987171557980485,0.09316069344868584,0.042927449611413517
60.0,16,stripping_volume_4,tray,194.93259590357584,221.59544956214452,53.487390489670766,12.105453807825082,12418.060046028724,7703.862447825457,0.16178530567431468,0.2984733729978056,0.7426718793344435,0.6552818802857676,0.09554281499124183,0.04624474671642691
60.0,17,stripping_volume_5,tray,200.09123735231475,221.66632410905774,53.18911947442504,12.032205151279479,12504.605046254372,7779.915003753928,0.1245541290733251,0.2364959381339272,0.7760664690769015,0.7130023340359272,0.09937940184977337,0.050501727830145636
60.0,18,stripping_volume_6,tray,205.18953058370545,221.7391901951826,53.2217101981204,11.934492873026747,12583.33843401823,7866.723946073014,0.09043522807064977,0.17651896654545562,0.8022734573533671,0.7663880875888541,0.10729131457598305,0.05709294586569029
60.0,19,stripping_volume_7,tray,210.42346553804057,221.81341705015043,52.786879850731914,11.86650898237269,12619.894074662032,7945.719385827526,0.06077133224126272,0.12199550137883931,0.8132336094849356,0.8079667525478215,0.1259950582738017,0.07003774607333915
60.0,20,combined_reboiler_sump,reboiler_sump,216.70456433878184,221.83869363818854,757.9850172831993,77.16228620062903,,7982.538821205397,0.03607347742223463,0.0749742800099237,0.7925483683727923,0.8252548642109119,0.17137815420497304,0.09977085577916442
90.0,1,reflux_drum,reflux_drum,120.50684747086571,220.76422141980603,1431.2523118572103,135.63641241404105,,,0.8803588004413272,0.9464291376792645,0.11960013090049655,0.05356142438154316,4.1068658176339046e-05,9.437939192159595e-06
90.0,2,rectifying_volume_1,tray,129.87054449288956,220.81171214525685,38.04487524189512,49.36432379350877,5662.820376297329,8452.575138686278,0.7573571867595702,0.8809292997451982,0.24248310833300774,0.1190301761545584,0.00015970490742202453,4.0524100243482095e-05
90.0,3,rectifying_volume_2,tray,140.85589795075043,220.86083774403392,34.31382759643307,12.777295029310356,5442.554767396926,8164.0259750200885,0.6258238690912861,0.7956899205232791,0.3737461966786537,0.20418730500390625,0.000429934230060333,0.00012277447281463085
90.0,4,rectifying_volume_3,tray,151.2013803619482,220.9098147844787,33.38073950707368,12.55872428189556,5316.691060536119,7944.008283680566,0.51318440870152,0.7066868653508914,0.4858540139642834,0.2930062492949747,0.0009615773341966063,0.0003068853541338909
90.0,5,rectifying_volume_4,tray,159.26124284187105,220.95908412779104,32.79888993038469,12.40196904441378,5258.930541777413,7818.37331344502,0.4321685279629804,0.6314384321653034,0.5659143810752078,0.367895095294702,0.0019170909618119111,0.0006664725399946669
90.0,6,rectifying_volume_5,tray,164.76671863783466,221.00869208810056,32.399351665973,12.30679199135669,5234.362259735649,7760.816522101093,0.38014284922470415,0.5774588703986323,0.6162938068372051,0.421229255802015,0.0035633439380907354,0.0013118737993525987
