time_s,stage,volume,node_type,T_F,P_psia_hyd,ML_lbmol,MV_lbmol,L_out_used_lbmolph,V_out_lbmolph,x_n-Propane,y_n-Propane,x_n-Butane,y_n-Butane,x_n-Pentane,y_n-Pentane
0.25,1,reflux_drum,reflux_drum,121.00330573870842,222.43202695632746,1714.3353493631953,115.7619264671625,,,0.8820367132510195,0.9470772831554987,0.11792272814392792,0.05291335537319467,4.05586050525121e-05,9.36147130675257e-06
0.25,2,rectifying_volume_1,tray,130.31294597493698,222.47928233140746,38.014805296119825,49.79340526380364,5662.962773383728,8455.51003967756,0.7598185157856191,0.8820215606867272,0.24002041026856893,0.1179374333843664,0.00016107394581208116,4.100592890644436e-05
0.25,3,rectifying_volume_2,tray,141.2562845375882,222.52816129527224,34.289207920975834,12.888266503573098,5441.750032774343,8166.456258891918,0.628755771798235,0.7972708342884284,0.3708086737595112,0.20260450295474286,0.000435554442253694,0.00012466275682884105
0.25,4,rectifying_volume_3,tray,151.5953854493714,222.57688150517043,33.353899023871186,12.667826788217681,5314.482776525552,7945.311716080961,0.5160946524668042,0.7085467719194564,0.4829300920289282,0.2911414386527899,0.0009752555042676525,0.00031178942775373904
0.25,5,rectifying_volume_4,tray,159.68123916075697,222.6258830684761,32.76809291858893,12.509164384406649,5255.550515355045,7818.110362901158,0.43473864711862703,0.6332604473580069,0.5633173415040393,0.36606259824373805,0.0019440113773338326,0.0006769543982551202
0.25,6,rectifying_volume_5,tray,165.22523583277768,222.6752154276976,32.36473190404638,12.412488001343615,5230.1941040287,7759.244774453694,0.3823023341784956,0.5790453791882331,0.6140879037239413,0.41962321546380427,0.0036097620975631805,0.001331405347962698
0.25,7,rectifying_volume_6,tray,168.77631075580953,222.72489694476243,32.14582068043237,12.351923300310862,5216.100943181833,7733.9555995346955,0.35056897191831504,0.5440594469065417,0.6430041709942573,0.4534837792435945,0.006426857087427564,0.0024567738498637187
0.25,8,rectifying_volume_7,tray,171.05569744583258,222.77482476259163,32.00400041391167,12.313441698035328,5201.868380560837,7719.928781211193,0.33179687806737956,0.522916786646891,0.6570433486855387,0.47272378655173114,0.011159773247081605,0.004359426801377833
0.25,9,rectifying_volume_8,tray,172.67316300747476,222.8248382315501,31.85255230861313,12.287497378818639,5180.695329687172,7705.760408250963,0.3204318924555634,0.5105669013136828,0.6604949486062159,0.48188058731243477,0.019073158938220622,0.007552511373882396
0.25,10,rectifying_volume_9,tray,174.1049627236069,222.87478844904703,31.649224728548727,12.264871247293962,5146.150035022172,7684.648739568387,0.3128199359332849,0.5034021629227552,0.6549685062452429,0.4837179022184598,0.03221155782147221,0.01287993485878499
0.25,11,rectifying_volume_10,tray,175.76258281418836,222.9245695687984,31.377328660620755,12.235336404787695,5089.8940487598675,7650.162234736714,0.3065037884800549,0.4991126173895773,0.6397392520576879,0.47919458516261393,0.05375695946225711,0.021692797447808804
