time_s,stage,volume,node_type,T_F,P_psia_hyd,ML_lbmol,MV_lbmol,L_out_used_lbmolph,V_out_lbmolph,x_n-Propane,y_n-Propane,x_n-Butane,y_n-Butane,x_n-Pentane,y_n-Pentane
0.25,1,reflux_drum,reflux_drum,121.08768358511456,222.66822559585333,1837.7723934039948,106.74451223947122,,,0.8820773954230895,0.9470736684317625,0.11788145928487379,0.05291682741150237,4.1145292036753944e-05,9.504156735167387e-06
0.25,2,rectifying_volume_1,tray,130.45369652409215,222.7155307794463,38.001056089669504,49.846490960057864,5661.340602699758,8467.869406735714,0.7591804498833472,0.8816018402893093,0.24065502298119892,0.11835622029078621,0.0001645271354540188,4.1939419904520896e-05
0.25,3,rectifying_volume_2,tray,141.44064403948778,222.76445176691337,34.27353403724671,12.90106620407601,5439.782545366123,8176.563609571323,0.6277127136707529,0.7964495707738412,0.37184259559087735,0.20342293585146703,0.00044469073836973767,0.0001274933746917614
0.25,4,rectifying_volume_3,tray,151.79163206834778,222.81321388581637,33.338756981894704,12.680404050668638,5312.827461597367,7954.912403403829,0.5150414718386643,0.7075447882429663,0.4839648401147658,0.2921369759648791,0.0009936880465699648,0.0003182357921547077
0.25,5,rectifying_volume_4,tray,159.8645319500965,222.8622574703952,32.754585749088456,12.522063606957895,5254.1605865534975,7827.869005601727,0.43389732700961975,0.6323254871567887,0.5641266158159359,0.36698534352891565,0.0019760571744442228,0.0006891693142957194
0.25,6,rectifying_volume_5,tray,165.38765230319143,222.91162980358078,32.35254820401744,12.425825114895678,5228.825162103004,7769.128511439468,0.38170672013214996,0.5782974258134165,0.61463264418947,0.4203506989408895,0.0036606356783800507,0.0013518752456939318
0.25,7,rectifying_volume_6,tray,168.92069574415368,222.96134747539588,32.134253265462945,12.365607678191125,5214.571013368751,7743.732802464087,0.3501677510750411,0.5435005139460918,0.6433296359194437,0.45401116844050954,0.006502613005515124,0.0024883176133987084
0.25,8,rectifying_volume_7,tray,171.18808235878885,223.0113069712036,31.99244636198488,12.327350892298245,5200.081751782576,7729.426878860328,0.3315251173988351,0.5225001527963257,0.6572086229125037,0.47309491107156104,0.011266259688661155,0.00440493613211329
0.25,9,rectifying_volume_8,tray,172.79895265291472,223.06134767766036,31.840634900751848,12.30153404796911,5178.6164651231165,7714.889904485438,0.3202375104415439,0.5102418904958802,0.6605496546618952,0.4821442084073626,0.01921283489656096,0.00761390109675728
0.25,10,rectifying_volume_9,tray,174.22757909045885,223.1113210228047,31.636844787761966,12.278974642484453,5143.799341114663,7693.377890567501,0.31266860767857213,0.5031296752739939,0.6549553017521258,0.4839148712411146,0.03237609056930214,0.01295545348489153
0.25,11,rectifying_volume_10,tray,175.8827013652172,223.16112169484833,31.364777404447167,12.249491599862775,5087.376539193599,7658.513543606754,0.30637815608096497,0.49886669347159474,0.6397095262154411,0.4793620671946424,0.053912317703593914,0.021771239333762918
0.25,12,feed_tray,tray,178.19501228579057,223.23589474018988,45.884674225230185,11.019295473657857,12252.142574403062,7602.043494334509,0.2995387676480096,0.4960294147259737,0.6120884840751355,0.46786260563469534,0.08837274827685475,0.0361079796393309
0.25,13,stripping_volume_1,tray,181.6359680730927,223.31148224330033,45.694626441673854,10.966406110029382,12272.641136711922,7623.786177078537,0.2713791080178668,0.45922952153363134,0.6389047666159035,0.50281959967716,0.08971612536622976,0.037950878789208754
0.25,14,stripping_volume_2,tray,185.7744566853311,223.3880985634828,45.51933099353659,10.901598941601268,12309.188793759848,7644.228297010434,0.23827046244861666,0.41357464782214937,0.6704367530882047,0.5461799308613268,0.09129278446317854,0.040245421316523776
0.25,15,stripping_volume_3,tray,190.4888867845986,223.46596690398877,45.31310828111548,10.832761295471256,12365.530563820392,7680.714745086223,0.20156303564821906,0.35981631136695713,0.7052917983482145,0.5971732897735642,0.09314516600356627,0.04301039885947869
0.25,16,stripping_volume_4,tray,195.5524542003775,223.53545241299602,53.481659203038,12.218985977684092,12440.604685636736,7736.993447417981,0.16336052102740814,0.30024021057044975,0.7411001658719639,0.6534342551477118,0.095539313100628,0.046325534281838436
0.25,17,stripping_volume_5,tray,200.7146705721887,223.60630861613953,53.181380340006186,12.145182620568526,12526.666358713728,7811.994579063637,0.12606502792290972,0.2384266771050513,0.7745375696637312,0.710981428759642,0.09939740241335908,0.050591894135306556
0.25,18,stripping_volume_6,tray,205.831063494036,223.67914830303167,53.21175444938335,12.046384284188026,12605.2630147118,7897.98542087443,0.0917803122169541,0.1784314459641766,0.8008864159949481,0.7643636653645537,0.10733327178809764,0.057204888671269716
0.25,19,stripping_volume_7,tray,211.09323023897664,223.75334529245316,52.77496210850148,11.977564758346809,12642.14930377219,7976.513122488921,0.0618762962441834,0.12371633335606465,0.8121035238181558,0.8061172634008489,0.12602017993766082,0.07016640324308633
0.25,20,combined_reboiler_sump,reboiler_sump,217.3996331957763,223.77855569446623,756.9345314140564,77.89553365771103,,8013.331242064895,0.03690093619506558,0.07637899601015738,0.7919179721449361,0.8237963894569035,0.17118109165999823,0.09982461453293914
30.0,1,reflux_drum,reflux_drum,121.08733428192879,222.66508458794854,1840.4125720529491,106.54767241666829,,,0.8820662711997778,0.9470685752972158,0.11789255688399178,0.052921914416844365,4.117191623034354e-05,9.510285939950314e-06
