time_s,wall_elapsed_s,steady_state_score,steady_state_flag,ss_max_rel_state_rate_per_s,ss_max_temp_rate_F_per_s,ss_max_kpi_slope_per_s,ss_max_mv_rate_per_s,ss_global_inventory_rate_frac_feed,Q_cond_used_BTUph,Q_reb_used_BTUph,Reflux_cmd_lbmolph,Boilup_lbmolph,D_lbmolph,B_lbmolph,Top_level_ctrl_pv,Bottom_level_fraction,P_top_drum_psia,T_Distillate_F,T_sump_F,scaled_residual_inf_norm,jacobian_condition,root_wall_s,root_objective_calls,root_nfev,root_njev,root_jacobian_builds,root_color_count,root_memo_hits,root_memo_misses,root_memo_hit_fraction,Distillate_x_n-Propane,Bottoms_x_n-Propane,Distillate_x_n-Butane,Bottoms_x_n-Butane,Distillate_x_n-Pentane,Bottoms_x_n-Pentane
0.25,9.610942899991642,4.208634668081991,0.0,6.282724616814456e-05,0.00017383190674991056,3.601734723801542e-07,0.44456899058059207,0.042086346680819904,-50894825.691564746,54706000.0,5952.48,8467.869406735714,2213.258694431065,4629.093625486486,0.5456753474954923,0.4999581372329507,222.66822559585333,121.08768358511456,217.3996331957763,8.639069822585653e-13,15311400.21733045,9.608074099989608,40.0,8.0,6.0,1.0,16.0,100.0,800.0,0.1111111111111111,0.8820773954230895,0.03690093619506558,0.11788145928487379,0.7919179721449361,4.1145292036753944e-05,0.17118109165999823
30.0,116.16228409999167,4.117571010350537,0.0,6.166859421005545e-05,0.00017196453685977482,3.738652221893872e-07,0.4482862768675999,0.041175710103505375,-50894825.691564746,54706000.0,5952.48,8468.346018173797,2226.5956816612243,4628.693292429296,0.5462900137652931,0.49995775323191544,222.66508458794854,121.08733428192879,217.39970559700254,4.791954781975741e-13,15337191.668384695,0.8622361000016099,40.0,8.0,7.0,1.0,16.0,100.0,800.0,0.1111111111111111,0.8820662711997778,0.036895213651256156,0.11789255688399178,0.7919147739206056,4.117191623034354e-05,0.17119001242813828
60.0,226.30224649999582,3.9341694185029086,0.0,5.920603432817855e-05,0.0001681982070332803,4.013124431027452e-07,0.4556243883037799,0.039341694185029086,-50894825.691564746,54706000.0,5952.48,8468.829512647573,2240.2644133103377,4628.286523151351,0.5468824265704082,0.49995737708522814,222.6611747354409,121.0867675338944,217.3995383171989,1.2699199408489979e-12,15361872.752355928,0.9000148000050103,40.0,8.0,6.0,1.0,16.0,100.0,800.0,0.1111111111111111,0.8820542318264847,0.03688901132415267,0.11790456901453956,0.7919117879879025,4.119915897573205e-05,0.1711992006879448
90.0,339.44738069998857,3.747000220500687,0.0,5.667456556894207e-05,0.0001643458445376685,4.2881688640343065e-07,0.4628014123727553,0.03747000220500687,-50894825.691564746,54706000.0,5952.48,8469.315705792285,2254.1484556815203,4627.876754974662,0.5474468440682898,0.4999570116535998,222.65651830033642,121.0859849886218,217.3991290289498,2.0636236279101334e-12,15385201.104739029,0.8986950999969849,39.0,7.0,6.0,1.0,16.0,100.0,700.0,0.125,0.8820413673198926,0.03688237610400573,0.11791740588911775,0.7919090443902468,4.122679098972372e-05,0.17120857950574755
120.0,452.6624245999992,3.5568969363488585,0.0,5.4086162957443136e-05,0.00016042373311033012,4.563160456457401e-07,0.4697932113555756,0.035568969363488585,-50894825.691564746,54706000.0,5952.48,8469.804397617983,2268.2422520221876,4627.464085889161,0.5479828143465972,0.49995665689615454,222.6511145668613,121.08498635500118,217.39847711543024,4.859540615727495e-13,15407156.456990613,0.846133999992162,39.0,7.0,7.0,1.0,16.0,100.0,700.0,0.125,0.8820276778385232,0.036875308785052935,0.11793106735651039,0.7919065451973009,4.125480496642072e-05,0.1712181460176463
150.0,559.7364753000002,3.363937803941998,0.0,5.1442292767794335e-05,0.00015643257602467506,4.838034726654487e-07,0.47659072278285447,0.03363937803941998,-50894825.691564746,54706000.0,5952.48,8470.295379701722,2282.539973705673,4627.048627613266,0.5484898973637224,0.4999563131104046,222.6449631431009,121.08377144523371,217.39758206168003,1.1944568992074503e-12,15427719.389841035,0.9093418999982532,40.0,8.0,7.0,1.0,16.0,100.0,800.0,0.1111111111111111,0.8820131637343432,0.03686781035234333,0.11794555307214981,0.7919042923746993,4.128319350689599e-05,0.1712278972729573
180.0,675.4769676999858,3.168204709743795,0.0,4.874452959292738e-05,0.00015237305782231185,5.112724233572822e-07,0.4831846755883968,0.03168204709743795,-50894825.691564746,54706000.0,5952.48,8470.788434930968,2297.035513973325,4626.630506897902,0.5489676655788027,0.49995598088845605,222.6380639707611,121.0823401778024,217.39644345751995,4.2763787177007117e-13,15446872.042473743,1.0413518999994267,41.0,9.0,6.0,1.0,16.0,100.0,900.0,0.1,0.8819978255616425,0.03685988198787126,0.11796086248924824,0.7919022877832333,4.1311949109297304e-05,0.17123783022889535
210.0,791.5736438999884,2.9697832601381515,0.0,4.599455714466394e-05,0.00014824584629309357,5.387158367583152e-07,0.4895656017629335,0.029697832601381514,-50894825.691564746,54706000.0,5952.48,8471.283337322391,2311.722482026213,4626.209866218281,0.549415704593721,0.4999556610683237,222.6304173350958,121.08069258046137,217.39506100049434,1.0428306882361305e-12,15464596.165313024,0.8950068999984069,39.0,7.0,6.0,1.0,16.0,100.0,700.0,0.125,0.8819816640865398,0.036851525077014925,0.1179769948493017,0.7919005331778041,4.134106415853494e-05,0.171247941745181
240.0,910.8116060999891,2.7687628555397072,0.0,4.3194168736536306e-05,0.000144051595633717,5.661263144237279e-07,0.4957238492657022,0.02768762855539707,-50894825.691564746,54706000.0,5952.48,8471.779851820202,2326.594197504184,4625.786863945969,0.5498336138060016,0.4999553546836501,222.62202387504698,121.07882879326428,217.3934344988709,4.0967541554205e-13,15480874.77832407,0.8920801999920513,39.0,7.0,5.0,1.0,16.0,100.0,700.0,0.125,0.8819646802971071,0.036842741215245826,0.11799394917197731,0.7918990302061715,4.1370530915560205e-05,0.17125822857858256
270.0,1030.2812401999981,2.565236765421123,0.0,4.034526744102359e-05,0.0001397909505660285,5.934961005575149e-07,0.5016495962242818,0.025652367654211233,-50894825.691564746,54706000.0,5952.48,8472.277734152378,2341.6436853909127,4625.361674098445,0.5502210070714293,0.4999550629144985,222.61288459359966,121.07674907163575,217.3915638746972,9.448397413658293e-13,15495692.21876204,0.9962606000044616,40.0,8.0,6.0,1.0,16.0,20.0,880.0,0.022222222222222223,0.8819468754140903,0.036833532215067154,0.11801172424440341,0.7918977804075333,4.140034150625206e-05,0.1712686873773994
300.0,1150.6585622999992,2.3593022023304075,0.0,3.7449865899362934e-05,0.00013546455168125248,6.208170625909837e-07,0.5073328664444641,0.023593022023304076,-50894825.691564746,54706000.0,5952.48,8472.77673071347,2356.8636713842466,4624.93448576521,0.5505775133751217,0.49995478704134144,222.6030008683632,121.0744537894896,217.38944916693558,9.067056689215148e-13,15509032.469500003,0.943236999999499,40.0,8.0,6.0,1.0,16.0,103.0,797.0,0.11444444444444445,0.8819282509022126,0.03682390011314501,0.11803031860987752,0.7918967852109575,4.143048790992774e-05,0.1712793146758974
330.0,1274.6731754999928,2.1510603928852348,0.0,3.451008577577699e-05,0.00013107304059853202,6.48080672482898e-07,0.5127635462516992,0.02151060392885235,-50894825.691564746,54706000.0,5952.48,8473.276578575877,2372.2465777717975,4624.5055023049745,0.5509027775096439,0.49995452840377935,222.5923744623581,121.0719434423884,217.38709053466386,9.86719124496639e-13,15520880.971916182,1.0665772999927867,41.0,9.0,7.0,1.0,16.0,100.0,900.0,0.1,0.8819088084820381,0.036813847177593007,0.11804973055601431,0.7918960459336924,4.146096194749982e-05,0.17129010688871454
360.0,1399.3192393999925,1.9406166441155006,0.0,3.152815683569895e-05,0.0001266170663967614,6.752779886672518e-07,0.5179314026775804,0.019406166441155007,-50894825.691564746,54706000.0,5952.48,8473.777005322803,2387.784519852125,4624.074940400288,0.5511964607587297,0.4999542883650111,222.58100753501867,121.0692186507488,217.38448826035903,4.990626489754826e-13,15531224.34738102,1.009127899989835,41.0,9.0,6.0,1.0,16.0,100.0,900.0,0.1,0.8818885501423781,0.03680337591537114,0.11806995810235268,0.7918955637793842,4.1491755269304095e-05,0.17130106030524458
