time_s,stage,volume,node_type,T_F,P_psia_hyd,ML_lbmol,MV_lbmol,L_out_used_lbmolph,V_out_lbmolph,x_n-Propane,y_n-Propane,x_n-Butane,y_n-Butane,x_n-Pentane,y_n-Pentane
0.25,1,reflux_drum,reflux_drum,120.98498785291457,222.25470366190197,1860.3667630817188,104.88856964819067,,,0.8813883356523684,0.9467799291493789,0.11856957430687685,0.053210356948783184,4.2090040754673526e-05,9.713901837987946e-06
0.25,2,rectifying_volume_1,tray,130.45214264555185,222.30217492123577,37.995464769162425,49.72928719906283,5659.046004050723,8482.521214641816,0.7572165913704955,0.8805405491757413,0.24261486204354826,0.11941647248223942,0.00016854658595633905,4.297834201928599e-05
0.25,3,rectifying_volume_2,tray,141.51794178140565,222.35125581310626,34.26282527465372,12.869484178492074,5437.414538448572,8188.296184106668,0.6249820858149027,0.7946158582931071,0.37456333673957265,0.20525364083900935,0.0004545774455246058,0.00013050086788356195
0.25,4,rectifying_volume_3,tray,151.88901656741794,222.40018196757632,33.32962283967254,12.649333006596997,5311.474041805421,7966.429513927867,0.5122972050348049,0.7053299174618423,0.48669014297984536,0.2943452402759781,0.00101265198534975,0.0003248422621797072
0.25,5,rectifying_volume_4,tray,159.9338061812305,222.44939427719711,32.74928467567266,12.492263003370125,5253.650383073976,7840.26543700208,0.4315826285531228,0.6302076376154478,0.566409763769689,0.36909120872612877,0.002007607677188195,0.0007011536584235177
0.25,6,rectifying_volume_5,tray,165.41213381589685,222.49893561514673,32.35061648677695,12.397280000868612,5228.655142988634,7782.243178142296,0.3799022619616168,0.5765307740058355,0.6163887757419357,0.42209818788793446,0.003708962296447433,0.0013710381062300337
0.25,7,rectifying_volume_6,tray,168.90477335389699,222.54881877645462,32.13447246767557,12.338026100203189,5214.384085078629,7757.0718948958265,0.3487812831432452,0.5421111888137145,0.6446459368241554,0.4553722443621159,0.006572780032599425,0.002516566824169601
0.25,8,rectifying_volume_7,tray,171.1429046362776,222.59893858533636,31.993723977654756,12.300429442403765,5199.698016668412,7742.640467868062,0.3304311731811945,0.5214106794715285,0.6582052017307067,0.47414516061073403,0.011363625088098761,0.00444415991773746
0.25,9,rectifying_volume_8,tray,172.73499950213534,222.64913417167404,31.842205424027426,12.275045691895482,5177.964474281234,7727.803352380653,0.31933188060614903,0.5093590011072026,0.6613271613047177,0.48297580391146405,0.019340958089133265,0.0076651949813334236
0.25,10,rectifying_volume_9,tray,174.15225803337347,222.6992572764494,31.638294474600723,12.252784626554034,5142.87772702474,7705.923486134879,0.31187915914221287,0.5023780178335874,0.655589104377672,0.48460486102202216,0.03253173648011505,0.013017121144390537
0.25,11,rectifying_volume_10,tray,175.7997699807547,222.74920309936525,31.36608391914933,12.223561206263113,5086.257693238017,7670.692370710151,0.3056617949225532,0.4981944187499753,0.6402629282710817,0.47997101057190056,0.05407527680636506,0.021834570678124218
0.25,12,feed_tray,tray,178.10401898724774,222.8241029809146,45.87490279468582,10.997405118183252,12243.63569785517,7613.92894866259,0.2988773092566583,0.4954045821640863,0.6126345308934888,0.4684460476036369,0.08848815984985282,0.03614937023227674
0.25,13,stripping_volume_1,tray,181.57747979101472,222.8997738297293,45.68298504256789,10.944140785689859,12264.214942919778,7628.13638479579,0.27046557435711494,0.458220625646514,0.6396896840689237,0.5037666101639243,0.0898447415739615,0.038012764189561676
0.25,14,stripping_volume_2,tray,185.74410474806754,222.97648062683845,45.506441938917796,10.879091801138234,12301.008887813532,7648.508781347457,0.2371557194217714,0.41219983901337526,0.6714121505984169,0.5474729006559621,0.09143212997981175,0.04032726033066273
0.25,15,stripping_volume_3,tray,190.47664391167586,223.05444669019022,45.299757771176715,10.810212619492193,12357.64575754326,7685.089125669946,0.20033993715608614,0.35816174912564736,0.7063678059807161,0.5987292876069539,0.09329225686319761,0.043108963267398714
0.25,16,stripping_volume_4,tray,195.54391389381956,223.1240081755531,53.46694123388609,12.193597610280102,12432.801751267545,7741.510379648071,0.16214777592844892,0.2984605092737109,0.7421591498137595,0.6551036522272172,0.09569307425779153,0.04643583849907188
0.25,17,stripping_volume_5,tray,200.69476246536996,223.1949402423025,53.167249267810334,12.120256531652943,12518.580374645933,7816.42810499417,0.12497709474983688,0.2367123381661929,0.7754611042654816,0.7125775455265616,0.09956180098468154,0.05071011630724548
0.25,18,stripping_volume_6,tray,205.78772745878877,223.2678505557413,53.19803754676726,12.022148001749306,12596.407399614376,7901.97447328332,0.0909039162142146,0.1769645006595929,0.8015746881693265,0.7657028894344242,0.10752139561645885,0.057332609905983
0.25,19,stripping_volume_7,tray,211.02016698873754,223.34210764421042,52.76132651950604,11.95398551280922,12632.056308030193,7979.575978091056,0.061257681719983886,0.12262779231949818,0.8124828944444896,0.8070570761489062,0.1262594238355264,0.07031513153159558
0.25,20,combined_reboiler_sump,reboiler_sump,217.29707824563468,223.36738792372975,757.1514053592291,77.72885656675517,,8015.004333504407,0.03654769639294867,0.07573176228793127,0.7919315289413054,0.8242482798737698,0.17152077466574595,0.10001995783829891
30.0,1,reflux_drum,reflux_drum,120.97854904763372,222.2304871881333,1858.9392690102372,104.98316186377463,,,0.8813537033434953,0.9467655116604701,0.11860417195606703,0.0532247669777622,4.212470043755489e-05,9.721361767767658e-06
30.0,2,rectifying_volume_1,tray,130.44944206683152,222.27796533293312,37.99545912374327,49.722685243250424,5658.96907388661,8482.964947956822,0.7571343251987399,0.8804974650115891,0.24269700184312415,0.11945952477027277,0.00016867295813598887,4.3010218138115145e-05
30.0,3,rectifying_volume_2,tray,141.51814895339658,222.32705297808937,34.262617522748876,12.867734243582388,5437.341926936522,8188.646115281124,0.6248713216227344,0.7945436701977786,0.37467380398426825,0.20532573956724923,0.00045487439299720696,0.00013059023497224916
30.0,4,rectifying_volume_3,tray,151.8899327248909,222.37598609256236,33.329482852993536,12.647612164072317,5311.444401791696,7966.78042978361,0.5121862679569782,0.7052431366479407,0.48680052933167195,0.2944318296453489,0.0010132027113497247,0.00032503370671037703
