time_s,wall_elapsed_s,steady_state_score,steady_state_flag,ss_max_rel_state_rate_per_s,ss_max_temp_rate_F_per_s,ss_max_kpi_slope_per_s,ss_max_mv_rate_per_s,ss_global_inventory_rate_frac_feed,Q_cond_used_BTUph,Q_reb_used_BTUph,Reflux_cmd_lbmolph,Boilup_lbmolph,D_lbmolph,B_lbmolph,Top_level_ctrl_pv,Bottom_level_fraction,P_top_drum_psia,T_Distillate_F,T_sump_F,scaled_residual_inf_norm,jacobian_condition,root_wall_s,root_objective_calls,root_nfev,root_njev,root_jacobian_builds,root_color_count,root_memo_hits,root_memo_misses,root_memo_hit_fraction,Distillate_x_n-Propane,Bottoms_x_n-Propane,Distillate_x_n-Butane,Bottoms_x_n-Butane,Distillate_x_n-Pentane,Bottoms_x_n-Pentane
0.25,8.483574899990344,2.1930356413981342,0.0,3.195259906523388e-05,0.00022949595768295694,1.1523767766696835e-06,0.5534346775948507,0.021930356413981344,-50894825.691564746,54706000.0,5952.48,8482.521214641816,2683.265691520301,4616.356274171753,0.5508102305863568,0.49995446339170824,222.25470366190197,120.98498785291457,217.29707824563468,8.551395504242697e-13,15450318.44223381,8.48093579999113,43.0,11.0,9.0,1.0,16.0,100.0,1100.0,0.08333333333333333,0.8813883356523684,0.03654769639294867,0.11856957430687685,0.7919315289413054,4.2090040754673526e-05,0.17152077466574595
30.0,113.3424665999919,2.306267587661936,0.0,3.340114068504943e-05,0.0002329820806321435,1.1640615108426433e-06,0.552487213538555,0.02306267587661936,-50894825.691564746,54706000.0,5952.48,8482.964947956822,2699.7020662034593,4615.9524095882,0.5504691293506822,0.49995477793606363,222.2304871881333,120.97854904763372,217.29014702873587,1.166591926250441e-12,15431004.110532137,0.957826700003352,42.0,10.0,7.0,1.0,16.0,100.0,1000.0,0.09090909090909091,0.8813537033434953,0.03653026956438759,0.11860417195606703,0.7919359588056314,4.212470043755489e-05,0.17153377162998099
60.0,219.78878960000293,2.531245217351984,0.0,3.6303389186112565e-05,0.00023984795532025298,1.1872450923082015e-06,0.5502860954181263,0.02531245217351984,-50894825.691564746,54706000.0,5952.48,8483.405712692826,2716.210649066003,4615.549651538707,0.5500914364286387,0.4999551323972633,222.205472603015,120.9718857731954,217.28295159007627,7.458062706227076e-13,15409983.46303545,0.9464868000068236,41.0,9.0,7.0,1.0,16.0,100.0,900.0,0.1,0.881318085990726,0.03651239058564222,0.1186397542621646,0.7919406790172676,4.215974710941668e-05,0.17154693039709012
90.0,334.74963299999945,2.7562091160050333,0.0,3.919673185382643e-05,0.00024662176439183746,1.2101042077679776e-06,0.5476214488327817,0.027562091160050334,-50894825.691564746,54706000.0,5952.48,8483.839314480663,2732.6392925309865,4615.151783577543,0.5496800323935621,0.49995552495042694,222.17987380153156,120.9650553200571,217.2755529371445,8.22024703260132e-13,15387423.65293439,1.2760653000004822,44.0,12.0,9.0,1.0,16.0,100.0,1200.0,0.07692307692307693,0.881281782864493,0.036494213690286846,0.11867602226052602,0.7919456517493774,4.2194874981069596e-05,0.1715601345603359
120.0,438.4128505999979,2.980026631013602,0.0,4.206573092313811e-05,0.0002532682055298589,1.2325700187831857e-06,0.5444913429997996,0.02980026631013602,-50894825.691564746,54706000.0,5952.48,8484.265310979717,2748.9740328209805,4614.7591826599655,0.5492351019669651,0.4999559562359784,222.15370429784983,120.95806177015174,217.26795489097861,6.985344913103191e-13,15363337.192113882,0.7450989000062691,39.0,7.0,6.0,1.0,16.0,100.0,700.0,0.125,0.8812448057639295,0.0364757483381106,0.11871296416744083,0.7919508751770372,4.223006862969852e-05,0.17157337648485227
150.0,542.2842066000012,3.202506452648128,0.0,4.4907286555070934e-05,0.00025978099276926516,1.2546212191081689e-06,0.5408905400432408,0.03202506452648128,-50894825.691564746,54706000.0,5952.48,8484.683256797005,2765.2007490222777,4614.372230354332,0.5487568591970383,0.4999564268657233,222.12697820484922,120.95090938107944,217.26016146119554,6.598939507163534e-13,15337737.461266061,0.872458199999528,41.0,9.0,6.0,1.0,16.0,100.0,900.0,0.1,0.8812071671273563,0.036457004356813906,0.11875056756047057,0.7919563473128708,4.2265312173214764e-05,0.17158664833031534
180.0,643.2329904999933,3.4234552638898186,0.0,4.771830767244232e-05,0.0002661538152712713,1.2762359734500941e-06,0.5368144277225838,0.034234552638898186,-50894825.691564746,54706000.0,5952.48,8485.092704125625,2781.305181853955,4613.991312362848,0.5482455476797011,0.49995693741760927,222.0997102354173,120.94360258564284,217.2521768467374,9.608849928295644e-13,15310640.000566456,0.7726051999925403,39.0,7.0,5.0,1.0,16.0,100.0,700.0,0.125,0.8811688800481527,0.03643799194271581,0.11878881936258526,0.7919620660051249,4.2300589262020877e-05,0.1715999420521593
210.0,745.4262423000037,3.6426780031766364,0.0,5.049571863293303e-05,0.0002723803472283256,1.2973919338188366e-06,0.5322590530399793,0.036426780031766366,-50894825.691564746,54706000.0,5952.48,8485.49320365156,2797.2729534451546,4613.616817985816,0.5477014407349762,0.49995748843026794,222.07191570270703,120.93614599104198,217.24400543632055,7.089581083879205e-13,15282061.373145385,0.9121166999975685,41.0,9.0,7.0,1.0,16.0,102.0,898.0,0.102,0.8811299582901382,0.03641872166077601,0.11882770582679028,0.7919680289358384,4.2335883071640355e-05,0.17161324940338563
240.0,845.4939642999962,3.8599781403543987,0.0,5.3236465937614605e-05,0.00027845425830624513,1.3180662583896681e-06,0.5272211547552919,0.03859978140354399,-50894825.691564746,54706000.0,5952.48,8485.884305228516,2813.0895880878134,4613.24913953041,0.5471248415371731,0.4999580803974314,222.0436105193093,120.92854437770983,217.23565180857136,6.593004822616115e-13,15252019.465245686,0.822779400012223,40.0,8.0,5.0,1.0,16.0,100.0,800.0,0.1111111111111111,0.8810904163023865,0.036399204443897416,0.11886721252131718,0.7919742336191021,4.2371176296287374e-05,0.1716265619370006
270.0,946.1829819999984,4.075157965207283,0.0,5.593752494777305e-05,0.00028436922466047086,1.338235632849146e-06,0.5216981946208459,0.04075157965207283,-50894825.691564746,54706000.0,5952.48,8486.265558674957,2828.7405339264387,4612.888671670071,0.5465160831974535,0.4999587137623768,222.0148111952972,120.92080269778035,217.22712073183155,1.0732315453198066e-12,15220533.896049181,0.8114945999986958,40.0,8.0,6.0,1.0,16.0,100.0,800.0,0.1111111111111111,0.881050269233401,0.0363794515914776,0.11890732431545549,0.7919806773994345,4.240645114345239e-05,0.17163987100908792
